;; -*- coding: utf-8-mcs-er -*-
U-0002216E	𢅮	⿱燅巾
U-0002216F	𢅯	⿰巾奮
U-00022170	𢅰	⿰巾䦧
U-00022171	𢅱	⿰巾⿱𠷎灬
U-00022172	𢅲	⿱⿰幸炎巾
U-00022173	𢅳	⿰巾𠔳
U-00022174	𢅴	⿰巾瞢
U-00022175	𢅵	⿰巾⿳竹⺫戊
U-00022176	𢅶	⿰巾⿳竹囚戉
U-00022177	𢅷	⿱⿰⿱⺾㡀攵巾
U-00022178	𢅸	⿱斂巾
U-00022179	𢅹	⿰巾龠
U-0002217A	𢅺	⿰書席
U-0002217B	𢅻	⿰巾雙
U-0002217C	𢅼	⿰巾夒
U-0002217D	𢅽	⿰巾𤐫
U-0002217E	𢅾	⿰巾羅
U-0002217F	𢅿	⿰巾⿱大⿰𣏼𣏼
U-00022180	𢆀	⿰巾⿱圓全
U-00022181	𢆁	⿰巾簾
U-00022182	𢆂	⿰⿰巾𦚏⿰&C1-4F7E;刂
U-00022183	𢆃	⿰巾夔
U-00022184	𢆄	⿰巾蘭
U-00022185	𢆅	⿰書幕
U-00022186	𢆆	⿰巾⿱⿱⺾⿲止目巳⿱八夂
U-00022187	𢆇	⿰⿳白癶巾槖
U-00022188	𢆈	⿱衛𢄉
U-00022189	𢆉	⿱丷干
U-0002218A	𢆊	⿰平丁
U-0002218B	𢆋	⿺允干
U-0002218C	𢆌	⿱⺊厈
U-0002218D	𢆍	𢆍
U-0002218E	𢆎	⿱𡗜干
U-0002218F	𢆏	⿰午⿱亠十
U-00022190	𢆐	⿰⿸𠂇𰀁干
U-00022191	𢆑	⿱⿲人人人干
U-00022192	𢆒	⿱上幵
U-00022193	𢆓	⿱不平
U-00022194	𢆔	⿱吅干
U-00022195	𢆕	⿰平反
U-00022196	𢆖	⿰吾干
U-00022197	𢆗	⿰并&MJ006315;
U-00022198	𢆘	⿰年欠
U-00022199	𢆙	⿱𠚪幵
U-0002219A	𢆚	⿱开束
U-0002219B	𢆛	⿱幵并
U-0002219C	𢆜	⿰曷干
U-0002219D	𢆝	⿺是干
U-0002219E	𢆞	⿱幵束
U-0002219F	𢆟	⿰由幷
U-000221A0	𢆠	⿰來平
U-000221A1	𢆡	⿱乳年
U-000221A2	𢆢	⿱⿰夕&MJ010776;并
U-000221A3	𢆣	⿰并夜
U-000221A4	𢆤	⿱卷年
U-000221A5	𢆥	⿰南年
U-000221A6	𢆦	⿰⿱⺫干東
U-000221A7	𢆧	⿱幸枚
U-000221A8	𢆨	⿱枝幸
U-000221A9	𢆩	⿱⿰久巨幷
U-000221AA	𢆪	⿱幸埋
U-000221AB	𢆫	⿰年歳
U-000221AC	𢆬	⿰𬃷幵
U-000221AD	𢆭	⿰巤年
U-000221AE	𢆮	⿰平藏
U-000221AF	𢆯	⿱幺丨
U-000221B0	𢆰	⿱一幺
U-000221B1	𢆱	⿹𠃌幺
U-000221B2	𢆲	⿱幺力
U-000221B3	𢆳	⿰幺了
U-000221B4	𢆴	⿰幺𠄏
U-000221B5	𢆵	⿰幺刁
U-000221B6	𢆶	⿰幺幺
U-000221B7	𢆷	⿰幺少
U-000221B8	𢆸	⿺𠃊𢆶
U-000221B9	𢆹	⿰幺云
U-000221BA	𢆺	⿱一⿰𠃔幺
U-000221BB	𢆻	⿱𢆶几
U-000221BC	𢆼	⿱𢆶又
U-000221BD	𢆽	⿰𢆯少
U-000221BE	𢆾	⿰⿱丿幺⿱丿幺
U-000221BF	𢆿	⿱囟幺
U-000221C0	𢇀	⿰幺𡰱
U-000221C1	𢇁	⿱𢆶灬
U-000221C2	𢇂	⿱𢆶廾
U-000221C3	𢇃	⿰⿱幺八⿱幺八
U-000221C4	𢇄	⿰幺沙
U-000221C5	𢇅	⿱𢆶卝
U-000221C6	𢇆	⿱囟𢆯
U-000221C7	𢇇	⿱𢆶丱
U-000221C8	𢇈	𢇈
U-000221C9	𢇉	⿱幻対
U-000221CA	𢇊	⿱邵𢆯
U-000221CB	𢇋	⿰𢆯曷
U-000221CC	𢇌	⿱徙幺
U-000221CD	𢇍	𢇍
U-000221CE	𢇎	⿰幺掎
U-000221CF	𢇏	⿰⿱爪爪𢆶
U-000221D0	𢇐	⿰幺象
U-000221D1	𢇑	⿱幽𢆶
U-000221D2	𢇒	⿰&AJ1-01586;𠧒
U-000221D3	𢇓	⿰幾乞
U-000221D4	𢇔	⿱幼景
U-000221D5	𢇕	⿱幽幽
U-000221D6	𢇖	⿳𢆶㐫⿲犭夭&CDP-875B;
U-000221D7	𢇗	⿸广下
U-000221D8	𢇘	⿸广女
U-000221D9	𢇙	⿸广弋
U-000221DA	𢇚	⿸广也
U-000221DB	𢇛	⿸广干
U-000221DC	𢇜	⿸广&MJ006463;
U-000221DD	𢇝	⿸广幺
U-000221DE	𢇞	⿸广口
U-000221DF	𢇟	⿸广兀
U-000221E0	𢇠	⿸广&CDP-8AF0;
U-000221E1	𢇡	⿸广亏
U-000221E2	𢇢	⿸广山
U-000221E3	𢇣	⿸广欠
U-000221E4	𢇤	⿸广水
U-000221E5	𢇥	⿸广卆
U-000221E6	𢇦	⿸广壬
U-000221E7	𢇧	⿸广冘
U-000221E8	𢇨	⿸广𢆰
U-000221E9	𢇩	⿸广开
U-000221EA	𢇪	⿸广反
U-000221EB	𢇫	⿸广乏
U-000221EC	𢇬	⿸广友
U-000221ED	𢇭	⿸广&GT-K00655;
U-000221EE	𢇮	⿸广攴
U-000221EF	𢇯	⿸广仅
U-000221F0	𢇰	⿸广允
U-000221F1	𢇱	⿸广兮
U-000221F2	𢇲	⿸广禾
U-000221F3	𢇳	⿸广皮
U-000221F4	𢇴	⿸广布
U-000221F5	𢇵	⿸广㘝
U-000221F6	𢇶	⿸广田
U-000221F7	𢇷	⿸广&AJ1-18056;
U-000221F8	𢇸	⿸广世
U-000221F9	𢇹	⿸广丘
U-000221FA	𢇺	⿸广冋
U-000221FB	𢇻	⿸广矢
U-000221FC	𢇼	⿸广⿰氏⺃
U-000221FD	𢇽	⿸广⿱士又
U-000221FE	𢇾	⿸广甘
U-000221FF	𢇿	⿸广出
U-00022200	𢈀	⿸广业
U-00022201	𢈁	⿸广𭆹
U-00022202	𢈂	⿸广㠯
U-00022203	𢈃	⿸广⿰山匕
U-00022204	𢈄	⿸广⿰亻&CDP-8AF0;
U-00022205	𢈅	⿸广瓜
U-00022206	𢈆	⿸广召
U-00022207	𢈇	⿸广先
U-00022208	𢈈	⿸广合
U-00022209	𢈉	⿸广同
U-0002220A	𢈊	⿸广缶
U-0002220B	𢈋	⿸广䏍
U-0002220C	𢈌	⿸广危
U-0002220D	𢈍	⿸广米
U-0002220E	𢈎	⿸广共
U-0002220F	𢈏	⿸广⿱&CDP-884D;&GT-K00059;
U-00022210	𢈐	⿸广⿱龷几
U-00022211	𢈑	⿸广⿺九分
U-00022212	𢈒	⿸广艾
U-00022213	𢈓	⿸广有
U-00022214	𢈔	⿸广&CDP-89E7;
U-00022215	𢈕	⿸广𠂢
U-00022216	𢈖	⿸广再
U-00022217	𢈗	⿸广⿰史⺃
U-00022218	𢈘	⿸广?
U-00022219	𢈙	⿸广夾
U-0002221A	𢈚	⿸广呂
U-0002221B	𢈛	⿸广困
U-0002221C	𢈜	⿸广壯
U-0002221D	𢈝	⿸广求
U-0002221E	𢈞	⿸广卣
U-0002221F	𢈟	⿸广矣
U-00022220	𢈠	⿸广束
U-00022221	𢈡	⿸广夋
U-00022222	𢈢	⿸广串
U-00022223	𢈣	⿸广囱
U-00022224	𢈤	⿸广⿱七甲
U-00022225	𢈥	⿸广見
U-00022226	𢈦	⿸广夆
U-00022227	𢈧	⿸广⿰丬支
U-00022228	𢈨	⿸广步
U-00022229	𢈩	⿸广走
U-0002222A	𢈪	⿸广吾
U-0002222B	𢈫	⿸广辰
U-0002222C	𢈬	⿸广𥃭
U-0002222D	𢈭	⿸广肖
U-0002222E	𢈮	⿸广⿱𠀐&GT-K00059;
U-0002222F	𢈯	⿸广身
U-00022230	𢈰	⿸庚十
U-00022231	𢈱	⿸广利
U-00022232	𢈲	⿸广㫗
U-00022233	𢈳	⿸广忩
U-00022234	𢈴	⿸广京
U-00022235	𢈵	⿸广空
U-00022236	𢈶	⿸广虎
U-00022237	𢈷	⿸广畀
U-00022238	𢈸	⿸广念
U-00022239	𢈹	⿸广阜
U-0002223A	𢈺	⿸广&C4-2534;
U-0002223B	𢈻	⿸广疌
U-0002223C	𢈼	⿸广卒
U-0002223D	𢈽	⿸广戔
U-0002223E	𢈾	⿸广取
U-0002223F	𢈿	⿸广或
U-00022240	𢉀	⿸广雨
U-00022241	𢉁	⿸广朋
U-00022242	𢉂	⿸广官
U-00022243	𢉃	⿸广舍
U-00022244	𢉄	⿸广欦
U-00022245	𢉅	⿸广金
U-00022246	𢉆	⿸广建
U-00022247	𢉇	⿸广⿱夭龰
U-00022248	𢉈	⿸广⿱士⿶凵口
U-00022249	𢉉	⿸广⿱𡗜土
U-0002224A	𢉊	⿸广⿺廴立
U-0002224B	𢉋	⿸广⿰&C1-4464;月
U-0002224C	𢉌	⿸广叔
U-0002224D	𢉍	⿸广⿱止灬
U-0002224E	𢉎	⿸广⿰爿支
U-0002224F	𢉏	⿸广⿱⺤友
