;; -*- coding: utf-8-mcs-er -*-
HZK04-A44A	&HZK04-A44A;	⿰木&CDP-8DA1;
HZK04-A5CF	&HZK04-A5CF;	⿰木⿱日犬
HZK04-A5D1	&HZK04-A5D1;	⿰木⿱&CDP-8A78;月
HZK04-A5D2	&HZK04-A5D2;	⿰木昂
HZK04-A5D4	&I-HZK04-A5D4;	⿰木⿱&GT-36329;夕
HZK04-A5D6	&HZK04-A5D6;	⿰木沓
HZK04-A5D8	&I-HZK04-A5D8;	⿰木罔
HZK04-A5D9	&HZK04-A5D9;	⿰木⿱𠂉圭
HZK04-A5DB	&HZK04-A5DB;	⿲木龵月
HZK04-C970	&I-HZK04-C970;	⿰歹將
HZK04-C971	&I-HZK04-C971;	⿰歹&M-28665;
HZK04-C972	&I-HZK04-C972;	⿰歹&B-B365;
HZK04-C973	&I-HZK04-C973;	⿰歹巢
HZK04-C974	&I-HZK04-C974;	⿰歹堯
HZK04-C975	&HZK04-C975;	⿰歹&B-B64E;
HZK04-C976	&HZK04-C976;	⿰歹彭
HZK04-C978	&I-HZK04-C978;	⿰歹斯
HZK04-C979	&HZK04-C979;	歹⺿𠫓木
HZK04-C97A	&I-HZK04-C97A;	⿰歹&CDP-8CF2;
HZK04-C97B	&HZK04-C97B;	歹歹&M-03115;&GT-34594;
HZK04-C97C	&HZK04-C97C;	⿰歹朁
HZK04-C97D	&I-HZK04-C97D;	⿰歹&M-01597;
HZK04-C97E	&HZK04-C97E;	⿰歹&B-B651;
HZK04-A5EE	&HZK04-A5EE;	龵月木
HZK04-A5EF	&HZK04-A5EF;	⿰木&CDP-88EB;
HZK04-A5F0	&HZK04-A5F0;	⿰木乖
HZK04-A5F1	&I-HZK04-A5F1;	⿱𥝢木
HZK04-A5F2	&HZK04-A5F2;	⿰木委
HZK04-A5F4	&I-HZK04-A5F4;	⿰木秉
HZK04-A5F6	&I-HZK04-A5F6;	⿰木兒
HZK04-A64F	&HZK04-A64F;	⿱木&B-AB41;
HZK04-A650	&HZK04-A650;	⿰木自匕
HZK04-A653	&HZK04-A653;	⿰木丿呂
HZK04-A654	&HZK04-A654;	⿰木&CDP-8BD6;㐅廾
HZK04-A655	&HZK04-A655;	⿰木彼
HZK04-A656	&HZK04-A656;	⿰木⺤亓
HZK04-A66F	&HZK04-A66F;	⿰木&CDP-8AC0;
HZK04-A672	&HZK04-A672;	⿰木&GT-37924;
HZK04-A675	&HZK04-A675;	⿰木&GT-00458;羊
HZK04-A6B3	&I-HZK04-A6B3;	⿰木⺇尖
HZK04-A6B4	&HZK04-A6B4;	⿰木旬丂
HZK04-A6B5	&HZK04-A6B5;	⿰木曶
HZK04-A6B6	&HZK04-A6B6;	⿰木&GT-04331;
HZK04-A6B7	&HZK04-A6B7;	⿰木夂田
HZK04-A6B9	&HZK04-A6B9;	⿰木勹&CDP-8653;
