;; -*- coding: utf-8-mcs-er -*-
U-0002F8A9	&U-0002F8A9;	⿰忄⿱⺾&AJ1-17246;
U-0002F8AA	&U-0002F8AA;	慺
U-0002F8AB	憎	⿰忄曽
U-0002F8AC	憲	⿱&HZK12-ECD1;心
U-0002F8AD	憤	⿰忄賁
U-0002F8AE	憯	⿰忄⿱&MJ007239;日
U-0002F8AF	懞	⿰忄⿱&CDP-85F0;冡
U-0002F8B0	懲	⿱&AJ1-03011;心
U-0002F8B1	懶	⿰忄頼
U-0002F8B2	成	⿵戊丁
U-0002F8B3	&C6-4023;	⿱&CDP-8DE0;戈
U-0002F8B4	扝	⿰扌亐
U-0002F8B5	抱	⿰扌包
U-0002F8B6	拔	⿰扌&AJ1-18056;
U-0002F8B7	&C6-314F;	⿰扌䏍
U-0002F8B8	𢬌	⿰扌⿱丿&AJ1-18056;
U-0002F8B9	挽	⿰扌免
U-0002F8BA	拼	⿰扌幷
U-0002F8BB	捨	⿰扌舎
U-0002F8BC	掃	⿰扌⿳&AJ1-14521;冖巾
U-0002F8BD	揤	⿰扌&AJ1-13365;
U-0002F8BE	𢯱	⿰扌&C3-2B4E;
U-0002F8BF	搢	⿰扌晋
U-0002F8C0	揅	⿱&AJ1-13342;手
U-0002F8C1	掩	⿰扌𡘹
U-0002F8C2	㨮	⿰扌⿱⿲&CDP-8CBD;白&CDP-8C78;几
U-0002F8C3	摩	⿸&AJ1-03729;手
U-0002F8C4	摾	⿰扌强
U-0002F8C5	撝	⿰扌&AJ1-05603;
U-0002F8C6	摷	⿰扌巢
U-0002F8C7	㩬	⿰扌&AJ1-01620;
U-0002F8C8	敏	⿰毎攵
U-0002F8C9	敬	⿰&MJ021663;攵
U-0002F8CA	𣀊	⿰亷攵
U-0002F8CB	旣	&AJ1-13701;
U-0002F8CC	書	書
U-0002F8CD	晉	⿳一&CDP-8D6B;日
U-0002F8CE	㬙	⿰日為
U-0002F8CF	暑	⿱日者
U-0002F8D0	㬈	⿰日𥁕
U-0002F8D1	㫤	⿱日永
U-0002F8D2	冒	⿱日目
U-0002F8D3	冕	⿱日&MJ007230;
U-0002F8D4	&MJ013506;	⿱日取
U-0002F8D5	暜	⿱竝曰
U-0002F8D6	&M-14342;	⿰&MJ013520;內
U-0002F8D7	䏙	⿰&MJ013520;冘
U-0002F8D8	朗	⿰良&MJ013520;
U-0002F8D9	望	⿱⿰&MJ006463;&MJ013520;王
U-0002F8DA	朡	⿰&MJ013520;㚇
U-0002F8DB	杞	⿰木已
U-0002F8DC	杓	⿰木⿹勹一
U-0002F8DD	𣏃	⿻木&AJ1-14521;
U-0002F8DE	㭉	⿱卝木
U-0002F8DF	柺	⿰木另
U-0002F8E0	枅	⿰木幵
U-0002F8E1	桒	⿱𠦄木
U-0002F8E2	梅	⿰木毎
U-0002F8E3	𣑭	⿰木𠕋
U-0002F8E4	梎	⿰木⿱白匕
U-0002F8E5	&MJ013844;	⿰木幷
U-0002F8E6	椔	⿰木甾
U-0002F8E7	&C5-3F71;	⿰木&AJ1-04319;
U-0002F8E8	楂	⿰木査
U-0002F8E9	榣	⿰木&JX2-7461;
U-0002F8EA	槪	⿰木&AJ1-13701;
U-0002F8EB	檨	⿰木&AJ1-08598;
U-0002F8EC	𣚣	⿰木異
U-0002F8ED	櫛	⿰木⿱竹&AJ1-13365;
