;; -*- coding: utf-8-mcs-er -*-
HZK10-C9CB	&HZK10-C9CB;	⿺⻍⿱匕用
HZK10-C9CC	&HZK10-C9CC;	⿺⻍&C1-492D;
HZK10-C9E4	&HZK10-C9E4;	⿺⻍&B-A8A4;
HZK10-C9E6	&HZK10-C9E6;	⿺⻍⿱&GT-07201;止
HZK10-C9E7	&HZK10-C9E7;	⿺⻍⿳&CDP-8B5B;冖巾
HZK10-CA45	&HZK10-CA45;	⿺⻍⿸广&CDP-8B6D;
HZK10-CA46	&HZK10-CA46;	⿺⻍⿸广火
HZK10-CA47	&HZK10-CA47;	⿺⻍𠫓廾
HZK10-CA48	&HZK10-CA48;	⿺⻍&UU+342C;
HZK10-CA49	&HZK10-CA49;	⿺⻌弟
HZK10-CA4B	&HZK10-CA4B;	⿺⻍⿱&CDP-8B69;田
HZK10-A764	&HZK10-A764;	⿱一&B-A8AC;
HZK10-A765	&HZK10-A765;	⿰⻊乚
HZK10-A766	&HZK10-A766;	⿰⻊十
HZK10-A767	&HZK10-A767;	⿰⻊丁
HZK10-A768	&HZK10-A768;	⿰&B-A8AC;刂
HZK10-A769	&HZK10-A769;	⿰⻊卜
HZK10-A76B	&HZK10-A76B;	⿱&GT-01850;&B-A8AC;
HZK10-A76C	&HZK10-A76C;	⿰⻊几
HZK10-A76D	&HZK10-A76D;	⿰⻊丩
HZK10-A76E	&HZK10-A76E;	⿰⻊干
HZK10-A770	&HZK10-A770;	⿰⻊亏
HZK10-A7A6	&HZK10-A7A6;	⿰⻊丌
HZK10-A7A7	&HZK10-A7A7;	⿰⻊兀
HZK10-A7A8	&HZK10-A7A8;	⿰⻊一几
HZK10-A7A9	&HZK10-A7A9;	⿰⻊一&CDP-88B6;
HZK10-A7AA	&HZK10-A7AA;	⿱万&B-A8AC;
HZK10-A7AB	&HZK10-A7AB;	⿰⻊山
HZK10-A7AC	&HZK10-A7AC;	⿰⻊乇
HZK10-A7AE	&HZK10-A7AE;	⿱&CDP-8AFC;&B-A8AC;
HZK10-A7B1	&HZK10-A7B1;	⿰⻊卂
HZK10-A7B2	&HZK10-A7B2;	⿰⻊乙十
HZK10-A7B3	&HZK10-A7B3;	⿸尸&B-A8AC;
HZK10-A7B4	&HZK10-A7B4;	⿰⻊已
HZK10-A7B5	&HZK10-A7B5;	⿰⻊&GT-03947;
HZK10-A7B6	&HZK10-A7B6;	⿰⻊丰
HZK10-A7B7	&HZK10-A7B7;	⿰⻊亓
HZK10-A7C8	&HZK10-A7C8;	⿰⻊元
HZK10-A7C9	&HZK10-A7C9;	⿰⻊廿
HZK10-A7CA	&HZK10-A7CA;	⿰⻊巿
HZK10-A7E6	&HZK10-A7E6;	⿰⻊不
HZK10-A7E8	&HZK10-A7E8;	⿰⻊㸦
HZK10-A7E9	&HZK10-A7E9;	⿰⻊&C1-4552;
HZK10-A7EA	&HZK10-A7EA;	⿰⻊互
HZK10-A7EB	&HZK10-A7EB;	⿰⻊&GT-02415;
HZK10-A7EC	&HZK10-A7EC;	⿰⻊一幺
HZK10-A848	&HZK10-A848;	⿰⻊少
HZK10-A849	&HZK10-A849;	⿰⻊&M-01418;
HZK10-A84A	&HZK10-A84A;	⿰⻊升
HZK10-A84B	&HZK10-A84B;	⿰⻊夭
HZK10-A84C	&HZK10-A84C;	⿰⻊𠂉几
HZK10-A84D	&HZK10-A84D;	⿰⻊化
HZK10-A84E	&HZK10-A84E;	⿰⻊斤
HZK10-A84F	&HZK10-A84F;	⿰⻊&GT-03956;
HZK10-A850	&HZK10-A850;	⿰⻊&GT-01891;
HZK10-A851	&HZK10-A851;	⿰⻊介
HZK10-A852	&HZK10-A852;	⿰⻊从
HZK10-A853	&HZK10-A853;	⿰⻊&GT-00467;
HZK10-A854	&HZK10-A854;	⿰⻊&GT-02360;
HZK10-A855	&HZK10-A855;	⿰⻊&GT-02420;
HZK10-A856	&HZK10-A856;	⿰⻊&GT-00175;
HZK10-A867	&HZK10-A867;	⿰⻊&GT-00458;㔾
HZK10-A868	&HZK10-A868;	⿰⻊月
HZK10-A869	&HZK10-A869;	⿰⻊氏
HZK10-A86A	&HZK10-A86A;	⿰⻊𠂔
HZK10-A86B	&HZK10-A86B;	⿰⻊欠
HZK10-A86C	&HZK10-A86C;	⿰&CDP-8547;&B-A8AC;
HZK10-A86D	&HZK10-A86D;	⿰⻊丹
HZK10-A86E	&HZK10-A86E;	⿰⻊&GT-21300;
HZK10-A86F	&HZK10-A86F;	⿰⻊&GT-00379;
HZK10-A870	&HZK10-A870;	⿰⻊&GT-17214;
HZK10-A871	&HZK10-A871;	⿰⻊丷丂
HZK10-A872	&HZK10-A872;	⿱&B-A8AC;火
HZK10-A873	&HZK10-A873;	⿰⻊斗
