;; -*- coding: utf-8-mcs-er -*-
U-0002A0FE	𪃾	⿰容鳥
U-0002A0FF	𪃿	⿰哥鳥
U-0002A100	𪄀	⿱般鳥
U-0002A101	𪄁	⿰原鳥
U-0002A102	𪄂	⿰夏鳥
U-0002A103	𪄃	⿰⿱幵木鳥
U-0002A104	𪄄	⿰凋鳥
U-0002A105	𪄅	⿱殺鳥
U-0002A106	𪄆	⿰𣬉鳥
U-0002A107	𪄇	⿰釜鳥
U-0002A108	𪄈	⿰鳥秦
U-0002A109	𪄉	⿰邕鳥
U-0002A10A	𪄊	⿰䀠鳥
U-0002A10B	𪄋	⿰⿱宀&CDP-85A7;山鳥
U-0002A10C	𪄌	⿰貢鳥
U-0002A10D	𪄍	⿰⿱吅𡕒鳥
U-0002A10E	𪄎	⿱格鳥
U-0002A10F	𪄏	⿰⿱&MJ024197;分鳥
U-0002A110	𪄐	⿰⿳十龷木鳥
U-0002A111	𪄑	⿰⿳穴厶夂鳥
U-0002A112	𪄒	⿱髟鳥
U-0002A113	𪄓	⿰鳥宼
U-0002A114	𪄔	⿰鳥&AJ1-01614;
U-0002A115	𪄕	⿰班鳥
U-0002A116	𪄖	⿰耆鳥
U-0002A117	𪄗	⿰⿱&CDP-8D44;火鳥
U-0002A118	𪄘	⿰⿱右冋鳥
U-0002A119	𪄙	⿱䀠鳥
U-0002A11A	𪄚	⿰&C4-2F31;鳥
U-0002A11B	𪄛	⿰鳥息
U-0002A11C	𪄜	⿰師鳥
U-0002A11D	𪄝	⿰鳥烏
U-0002A11E	𪄞	⿰鳥芻
U-0002A11F	𪄟	⿰鳥旃
U-0002A120	𪄠	⿰涑鳥
U-0002A121	𪄡	⿰展鳥
U-0002A122	𪄢	⿰⿱&CDP-8CAF;比鳥
U-0002A123	𪄣	⿰浩鳥
U-0002A124	𪄤	⿰套鳥
U-0002A125	𪄥	⿰鳥骨
U-0002A126	𪄦	⿰鳥茶
U-0002A127	𪄧	⿰鳥逆
U-0002A128	𪄨	⿰哨鳥
U-0002A129	𪄩	⿰鳥隼
U-0002A12A	𪄪	⿱⿰來力鳥
U-0002A12B	𪄫	⿱涂鳥
U-0002A12C	𪄬	⿱⿰⺭矢鳥
U-0002A12D	𪄭	⿰桼鳥
U-0002A12E	𪄮	⿰雩鳥
U-0002A12F	𪄯	⿱規鳥
U-0002A130	𪄰	⿰⿱必虫鳥
U-0002A131	𪄱	⿰啇鳥
U-0002A132	𪄲	⿰商鳥
U-0002A133	𪄳	⿰麥鳥
U-0002A134	𪄴	⿱敏鳥
U-0002A135	𪄵	⿱既鳥
U-0002A136	𪄶	⿰習鳥
U-0002A137	𪄷	⿰&CDP-8DA9;鳥
U-0002A138	𪄸	⿰責鳥
U-0002A139	𪄹	⿰常鳥
U-0002A13A	𪄺	⿰鳥寇
U-0002A13B	𪄻	⿰鳥舂
U-0002A13C	𪄼	⿰唯鳥
U-0002A13D	𪄽	⿰⿱&CDP-8D44;卯鳥
U-0002A13E	𪄾	⿰⿱隹&CDP-8CD5;鳥
U-0002A13F	𪄿	⿰&MJ057282;鳥
U-0002A140	𪅀	⿰堇鳥
U-0002A141	𪅁	⿰崇鳥
U-0002A142	𪅂	⿰章鳥
U-0002A143	𪅃	⿰票鳥
U-0002A144	𪅄	⿰率鳥
U-0002A145	𪅅	⿱略鳥
U-0002A146	𪅆	⿰离鳥
U-0002A147	𪅇	⿱&CDP-8D60;鳥
U-0002A148	𪅈	⿰⿱𠂹一鳥
U-0002A149	𪅉	⿰⿱臼日鳥
U-0002A14A	𪅊	⿰𪺏鳥
U-0002A14B	𪅋	⿰陵鳥
U-0002A14C	𪅌	⿰梨鳥
U-0002A14D	𪅍	⿰淶鳥
U-0002A14E	𪅎	⿰舀鳥
U-0002A14F	𪅏	⿱殻鳥
U-0002A150	𪅐	⿰莫鳥
U-0002A151	𪅑	⿰⿳立日儿鳥
U-0002A152	𪅒	⿱⿰米瓦鳥
U-0002A153	𪅓	⿱雀鳥
U-0002A154	𪅔	⿺凰皇
U-0002A155	𪅕	⿰巢鳥
U-0002A156	𪅖	⿰舂鳥
U-0002A157	𪅗	⿸𠩺鳥
U-0002A158	𪅘	⿰鳥專
U-0002A159	𪅙	⿰敕鳥
U-0002A15A	𪅚	⿱眽鳥
U-0002A15B	𪅛	⿰鳥婁
U-0002A15C	𪅜	⿰鳥從
U-0002A15D	𪅝	⿰鳥鳥
U-0002A15E	𪅞	⿰⿱匊大鳥
U-0002A15F	𪅟	⿰鳥庸
U-0002A160	𪅠	⿰羞鳥
U-0002A161	𪅡	⿰鳥翏
U-0002A162	𪅢	⿰⿱宀⿳一血亅鳥
U-0002A163	𪅣	⿰⿱夾月鳥
U-0002A164	𪅤	⿰堅鳥
U-0002A165	𪅥	⿰&C6-4630;鳥
U-0002A166	𪅦	⿰鳥國
U-0002A167	𪅧	⿰堆鳥
U-0002A168	𪅨	⿰移鳥
U-0002A169	𪅩	⿰參鳥
U-0002A16A	𪅪	⿱郭鳥
U-0002A16B	𪅫	⿱域鳥
U-0002A16C	𪅬	⿰&C1-5876;鳥
U-0002A16D	𪅭	⿱脩鳥
U-0002A16E	𪅮	⿰密鳥
U-0002A16F	𪅯	⿰馮鳥
U-0002A170	𪅰	⿱舒鳥
U-0002A171	𪅱	⿰属鳥
U-0002A172	𪅲	⿰翕鳥
U-0002A173	𪅳	⿰⿱&CDP-89B6;田鳥
U-0002A174	𪅴	⿰惡鳥
U-0002A175	𪅵	⿱⿰虫次鳥
U-0002A176	𪅶	⿱敞鳥
U-0002A177	𪅷	⿰⿳工目父鳥
U-0002A178	𪅸	⿰絜鳥
U-0002A179	𪅹	⿰鳥幾
U-0002A17A	𪅺	⿰喉鳥
U-0002A17B	𪅻	⿰舟⿱&CDP-8BFA;鳥
U-0002A17C	𪅼	⿸厤鳥
U-0002A17D	𪅽	⿰朁鳥
U-0002A17E	𪅾	⿰欺鳥
U-0002A17F	𪅿	⿱隋鳥
U-0002A180	𪆀	⿱粥鳥
U-0002A181	𪆁	⿰斯鳥
U-0002A182	𪆂	⿰渠鳥
U-0002A183	𪆃	⿱敦鳥
U-0002A184	𪆄	⿰鳥焦
U-0002A185	𪆅	⿰⿱隹火鳥
U-0002A186	𪆆	⿰菟鳥
U-0002A187	𪆇	⿰𠷎鳥
U-0002A188	𪆈	⿰⿱&CDP-8BB5;火鳥
U-0002A189	𪆉	⿰⿱&CDP-8D52;隹鳥
U-0002A18A	𪆊	⿱舂鳥
U-0002A18B	𪆋	⿰結鳥
U-0002A18C	𪆌	⿰朙鳥
U-0002A18D	𪆍	⿰⿹勹⿰⿱人个⿱人个鳥
U-0002A18E	𪆎	⿱游鳥
U-0002A18F	𪆏	⿰鳥童
U-0002A190	𪆐	⿰集鳥
U-0002A191	𪆑	⿱⿰⿳士冖口殳鳥
U-0002A192	𪆒	⿰雁鳥
U-0002A193	𪆓	⿰絲鳥
U-0002A194	𪆔	⿰焦?
U-0002A195	𪆕	⿰⿳宀大⿱工土鳥
U-0002A196	𪆖	⿰鳥壹
U-0002A197	𪆗	⿱斯鳥
U-0002A198	𪆘	⿰朝鳥
U-0002A199	𪆙	⿰厥鳥
U-0002A19A	𪆚	⿰雲鳥
U-0002A19B	𪆛	⿰虚鳥
U-0002A19C	𪆜	⿰黍鳥
U-0002A19D	𪆝	⿰敦鳥
U-0002A19E	𪆞	⿰粦鳥
U-0002A19F	𪆟	⿲涑力鳥
U-0002A1A0	𪆠	⿰富鳥
U-0002A1A1	𪆡	⿰啻鳥
U-0002A1A2	𪆢	⿰甯鳥
U-0002A1A3	𪆣	⿰景鳥
U-0002A1A4	𪆤	⿰黑鳥
U-0002A1A5	𪆥	⿰鳥窖
U-0002A1A6	𪆦	⿱須鳥
U-0002A1A7	𪆧	⿰鳥越
U-0002A1A8	𪆨	⿰⿱艹昏鳥
U-0002A1A9	𪆩	⿰就鳥
U-0002A1AA	𪆪	⿱殼鳥
U-0002A1AB	𪆫	⿰鳥渠
U-0002A1AC	𪆬	⿰鳥路
U-0002A1AD	𪆭	⿰鳥肅
U-0002A1AE	𪆮	⿰鳥⿱宓皿
U-0002A1AF	𪆯	⿰農鳥
U-0002A1B0	𪆰	⿰葛鳥
U-0002A1B1	𪆱	⿰&CDP-8D69;鳥
U-0002A1B2	𪆲	⿰賈鳥
U-0002A1B3	𪆳	⿰鳥雋
U-0002A1B4	𪆴	⿰葵鳥
U-0002A1B5	𪆵	⿲淶力鳥
U-0002A1B6	𪆶	⿰粲鳥
U-0002A1B7	𪆷	⿰鉏鳥
U-0002A1B8	𪆸	⿰滑鳥
U-0002A1B9	𪆹	⿰過鳥
U-0002A1BA	𪆺	⿰豦鳥
U-0002A1BB	𪆻	⿰詹鳥
U-0002A1BC	𪆼	⿰雷鳥
U-0002A1BD	𪆽	⿰路鳥
U-0002A1BE	𪆾	⿰⿳&AJ1-04110;⿱口口𢆉鳥
U-0002A1BF	𪆿	⿰𧧑鳥
U-0002A1C0	𪇀	⿱鼓鳥
U-0002A1C1	𪇁	⿰當鳥
U-0002A1C2	𪇂	⿱⿰⿳士冖火殳鳥
U-0002A1C3	𪇃	⿰票鳯
U-0002A1C4	𪇄	⿰⿱&CDP-8D44;卵鳥
U-0002A1C5	𪇅	⿰鳥葴
U-0002A1C6	𪇆	⿰鳥蜀
U-0002A1C7	𪇇	⿰僉鳥
U-0002A1C8	𪇈	⿰愛鳥
U-0002A1C9	𪇉	⿰雍鳥
U-0002A1CA	𪇊	⿰鳥辟
U-0002A1CB	𪇋	⿰鳥嵬
U-0002A1CC	𪇌	⿰鳥農
U-0002A1CD	𪇍	⿰鳥&MJ026041;
U-0002A1CE	𪇎	⿰禁鳥
U-0002A1CF	𪇏	⿰畺鳥
U-0002A1D0	𪇐	⿰鳥⿱朔大
U-0002A1D1	𪇑	⿰熏鳥
U-0002A1D2	𪇒	⿰精鳥
U-0002A1D3	𪇓	⿰夢鳥
U-0002A1D4	𪇔	⿰慈鳥
U-0002A1D5	𪇕	⿰賓鳥
U-0002A1D6	𪇖	⿰監鳥
U-0002A1D7	𪇗	⿱穀鳥
U-0002A1D8	𪇘	⿰壽鳥
U-0002A1D9	𪇙	⿰⿱竹㚔鳥
U-0002A1DA	𪇚	⿱禓鳥
U-0002A1DB	𪇛	⿰㢕鳥
U-0002A1DC	𪇜	⿰𦵯鳥
U-0002A1DD	𪇝	⿴䳜角
U-0002A1DE	𪇞	⿱皷鳥
U-0002A1DF	𪇟	⿱⿰声谷鳥
U-0002A1E0	𪇠	⿰𡏳鳥
U-0002A1E1	𪇡	⿰蒦鳥
U-0002A1E2	𪇢	⿰𥮗鳥
U-0002A1E3	𪇣	⿰⿰身身鳥
U-0002A1E4	𪇤	⿰⿱夕鹿鳥
U-0002A1E5	𪇥	⿰鳥旗
U-0002A1E6	𪇦	⿰雐鳥
U-0002A1E7	𪇧	⿰賔鳥
U-0002A1E8	𪇨	⿰鳥蒲
U-0002A1E9	𪇩	⿰銀鳥
U-0002A1EA	𪇪	⿰摘鳥
U-0002A1EB	𪇫	⿰鳥魁
U-0002A1EC	𪇬	⿰與鳥
U-0002A1ED	𪇭	⿰蔡鳥
U-0002A1EE	𪇮	⿰廛鳥
U-0002A1EF	𪇯	⿰戮鳥
U-0002A1F0	𪇰	⿰暴鳥
U-0002A1F1	𪇱	⿰樂鳥
U-0002A1F2	𪇲	⿰𢧵鳥
U-0002A1F3	𪇳	⿰鳥箴
U-0002A1F4	𪇴	⿰蔑鳥
U-0002A1F5	𪇵	⿰廣鳥
U-0002A1F6	𪇶	⿰潐鳥
U-0002A1F7	𪇷	⿰鳥⿰⿱屮𠂤辛
U-0002A1F8	𪇸	⿰慮鳥
U-0002A1F9	𪇹	⿰&CDP-8D47;鳥
