;; -*- coding: utf-8-mcs-er -*-
HZK08-A762	&HZK08-A762;	⿰虫&M-00659;
HZK08-A763	&HZK08-A763;	⿱&M-00659;虫
HZK08-A766	&HZK08-A766;	⿰虫泉
HZK08-A77E	&HZK08-A77E;	⿰虫侯
HZK08-A7A1	&HZK08-A7A1;	⿱帥虫
HZK08-A7A2	&HZK08-A7A2;	⿰虫衍
HZK08-A7A3	&HZK08-A7A3;	⿱衍虫
HZK08-A7A4	&HZK08-A7A4;	⿰虫律
HZK08-A7A6	&HZK08-A7A6;	⿰虫弇
HZK08-A7A7	&HZK08-A7A7;	⿲虫希卩
HZK08-A7A8	&HZK08-A7A8;	⿰虫卻
HZK08-A7AA	&HZK08-A7AA;	豸刂虫
HZK08-A7AD	&HZK08-A7AD;	𠤕&GT-00458;虫
HZK08-A7AE	&HZK08-A7AE;	⿰虫&B-ADB7;
HZK08-A7AF	&HZK08-A7AF;	⿰虫匆心
HZK08-A7B0	&HZK08-A7B0;	⿰虫&CDP-8DAF;
HZK08-A7B1	&HZK08-A7B1;	⿳夂⿰虫虫
HZK08-A7C0	&HZK08-A7C0;	⿰虫&GT-11194;
HZK08-A7C1	&HZK08-A7C1;	⿳&M-00287;⿰虫虫
HZK08-A7C3	&HZK08-A7C3;	⿱&GT-17227;虫
HZK08-A7C4	&HZK08-A7C4;	⿰虫並
HZK08-A7C5	&HZK08-A7C5;	⿰虫&GT-34594;女
HZK08-A7C8	&HZK08-A7C8;	⿰虫室
HZK08-A7C9	&HZK08-A7C9;	⿰虫&CDP-8AC4;
HZK08-A7E0	&HZK08-A7E0;	⿰虫&M-11728;
HZK08-A7E1	&HZK08-A7E1;	⿱必蚕
HZK08-A7E3	&HZK08-A7E3;	⿱叚虫
HZK08-A7E5	&HZK08-A7E5;	⿰虫韋
HZK08-A7E8	&HZK08-A7E8;	⿰虫勇
HZK08-A7E9	&HZK08-A7E9;	⿰虫&GT-29045;
HZK08-A841	&HZK08-A841;	⿲虫矛攵
HZK08-A844	&HZK08-A844;	⿱彖虫
HZK08-A845	&HZK08-A845;	⿰虫巛歹刂
HZK08-A848	&HZK08-A848;	⿱&C1-572E;虫
HZK08-A861	&HZK08-A861;	⿳天⿰虫虫
HZK08-A862	&HZK08-A862;	&CDP-8C6A;&M-03115;虫
HZK08-A863	&HZK08-A863;	⿰虫𠃊圭大
HZK08-A865	&HZK08-A865;	⿰虫士吳
HZK08-A866	&HZK08-A866;	⿰虫⿰⺘&CDP-8852;口
HZK08-A868	&HZK08-A868;	士尸&GT-21300;虫
HZK08-A869	&HZK08-A869;	⿰虫盍
HZK08-A86A	&HZK08-A86A;	⿱茿虫
HZK08-A86B	&HZK08-A86B;	⿰虫&J90-427B;
HZK08-A86C	&HZK08-A86C;	⿰虫⺾两
HZK08-A86E	&HZK08-A86E;	⿰虫恭
HZK08-A86F	&HZK08-A86F;	⿰虫⺿𠇍
HZK08-A870	&HZK08-A870;	⿰虫茲
HZK08-A872	&HZK08-A872;	⿱莫虫
HZK08-A8A4	&HZK08-A8A4;	⿳木⿰虫虫
HZK08-A8A5	&HZK08-A8A5;	⿰虫索
HZK08-A8A6	&HZK08-A8A6;	⿰虫尃
HZK08-A8A7	&HZK08-A8A7;	⿰虫哥
HZK08-A8A8	&HZK08-A8A8;	⿳&CDP-8DDD;冖&CDP-8C65;
HZK08-A8A9	&HZK08-A8A9;	⿰虫&B-B0AC;
HZK08-A8AB	&HZK08-A8AB;	臣斗虫
HZK08-A8AC	&HZK08-A8AC;	⿰虫而火
HZK08-A8AE	&HZK08-A8AE;	⿱原虫
HZK08-A8AF	&HZK08-A8AF;	匚永虫土
HZK08-CA62	&HZK08-CA62;	⿱⺮&B-EBC2;
HZK08-CA63	&HZK08-CA63;	⿱⺮器
HZK08-CA64	&HZK08-CA64;	⿱⺮&B-EC6A;
HZK08-CA65	&HZK08-CA65;	⿱⺮毇
HZK08-CA66	&HZK08-CA66;	⿱⺮彳&B-B3BD;卩
HZK08-CA67	&HZK08-CA67;	⿱⺮衛
HZK08-CA6A	&HZK08-CA6A;	⿳⺮&GT-00458;爾
HZK08-CAA1	&HZK08-CAA1;	⿱⺮縢
HZK08-CAA2	&HZK08-CAA2;	⿱⺮&B-BFEC;
HZK08-CAA4	&HZK08-CAA4;	⿱⺮&M-06776;
HZK08-CAA5	&HZK08-CAA5;	⿱⺮甐
HZK08-CAA6	&HZK08-CAA6;	⿱⺮⻂&M-02691;
HZK08-CAA7	&HZK08-CAA7;	⿱⺮&B-EC4D;
HZK08-CAA8	&HZK08-CAA8;	⿱⺮&B-C046;
HZK08-CAA9	&HZK08-CAA9;	⿱⺮&M-39127;
HZK08-CAAA	&HZK08-CAAA;	⿱⺮幸訇
HZK08-CAAB	&HZK08-CAAB;	⿱⺮&CDP-89B6;&B-AAF7;刂
HZK08-CAAC	&HZK08-CAAC;	⿱⺮&GT-16292;
HZK08-CAC1	&HZK08-CAC1;	⿱⺮其&CDP-8CAD;
HZK08-CAC2	&HZK08-CAC2;	⿱⺮&B-C1F5;
HZK08-CAC3	&HZK08-CAC3;	⿳⺮&CDP-85AB;𠬞
HZK08-CAC4	&HZK08-CAC4;	⿱⺮&CDP-8ABA;訇
HZK08-CAC5	&HZK08-CAC5;	⿱⺮&M-28367;
HZK08-CAC6	&HZK08-CAC6;	⿱⺮沝欠皿
HZK08-CAC7	&HZK08-CAC7;	⿱⺮&CDP-8BC0;絲一&GT-01888;
HZK08-CAC8	&HZK08-CAC8;	⿱⺮&B-C1D6;
HZK08-CAC9	&HZK08-CAC9;	⿱⺮&B-AB41;&B-ADB7;
HZK08-CACA	&HZK08-CACA;	⿱⺮&GT-31946;
HZK08-CACD	&HZK08-CACD;	⿱⺮斂
HZK08-CACE	&HZK08-CACE;	⿱⺮歛
HZK08-CAE1	&HZK08-CAE1;	⿱⺮&B-C241;
HZK08-CAE2	&HZK08-CAE2;	⿳⺮就旦
HZK08-CAE3	&HZK08-CAE3;	⿱⺮&GT-46582;
HZK08-CAE5	&HZK08-CAE5;	⿱⺮臀
HZK08-CAE6	&HZK08-CAE6;	⿱⺮彌
HZK08-CAE7	&HZK08-CAE7;	⿱⺮⿰⺘&CDP-8BDF;&B-ADB4;
HZK08-CAE8	&HZK08-CAE8;	⿱⺮聶
HZK08-CAE9	&HZK08-CAE9;	⿳⺮&CDP-88DF;&GT-00458;盱
HZK08-CAEA	&HZK08-CAEA;	⿱⺮&B-F171;
HZK08-CAEB	&HZK08-CAEB;	⿱⺮林肉攵
HZK08-CAEC	&HZK08-CAEC;	⿱⺮&GT-46840;
HZK08-CAED	&HZK08-CAED;	⿱⺮&B-F1EA;
HZK08-CAEE	&HZK08-CAEE;	⿱⺮&B-C35C;
HZK08-CAEF	&HZK08-CAEF;	⿱⺮&GT-37363;㫺
HZK08-CAF0	&HZK08-CAF0;	&CDP-8DF9;竹
HZK08-CAF1	&HZK08-CAF1;	⿱⺮&B-C2F9;
HZK08-CB42	&HZK08-CB42;	⿱⺮彳&B-B3BD;攵
HZK08-CB43	&HZK08-CB43;	⿱⺮爵
HZK08-CB45	&HZK08-CB45;	⿱⺮&B-C2F8;
HZK08-CB46	&HZK08-CB46;	⿱⺮⿰⺡&CDP-8BDF;&B-ADB4;
HZK08-CB48	&HZK08-CB48;	⿱⺮幸勹&B-ADB2;
HZK08-CB49	&HZK08-CB49;	⿱⺮璽
HZK08-CB4A	&HZK08-CB4A;	⿱⺮&B-C452;
HZK08-CB4B	&HZK08-CB4B;	⿱⺮⿰口口厂&CDP-897C;月&GT-21300;
HZK08-CB4C	&HZK08-CB4C;	⿱⺮&GT-36561;
HZK08-CB4F	&HZK08-CB4F;	⿳⺮毀&GT-34594;
HZK08-CB50	&HZK08-CB50;	⿱⺮&CDP-8DB4;&GT-34594;&GT-21300;
HZK08-CB51	&HZK08-CB51;	⿳⺮就&B-A8AC;
HZK08-CB62	&HZK08-CB62;	⿳⺮殿肉
