;; -*- coding: utf-8-mcs-er -*-
HZK01-D062	&HZK01-D062;	⿰⺅討
HZK01-D063	&HZK01-D063;	⿰⺅𠙖
HZK01-D064	&I-HZK01-D064;	⿰⺅&B-B0AA;
HZK01-D07C	&HZK01-D07C;	⿰⺅疾
HZK01-D07E	&HZK01-D07E;	⿰⺅离
HZK01-D0A1	&I-HZK01-D0A1;	⿰⺅唐
HZK01-D0A2	&HZK01-D0A2;	⿲⺅竝
HZK01-D0A4	&HZK01-D0A4;	⿰⺅&CDP-8C50;口
HZK01-D0A5	&HZK01-D0A5;	⿰⺅畜
HZK01-D0BE	&HZK01-D0BE;	⿰⺅剡
HZK01-D0C0	&I-HZK01-D0C0;	⿰⺅宾
HZK01-D0C2	&I-HZK01-D0C2;	⿰⺅宭
HZK01-D0C3	&HZK01-D0C3;	⿰⺅&HD-JT-B1D6;
HZK01-D0C4	&I-HZK01-D0C4;	⿰⿲⺅诸
HZK01-D0C5	&HZK01-D0C5;	⿰⺅冥
HZK01-D0C7	&HZK01-D0C7;	
HZK01-ADBE	&HZK01-ADBE;	⿵⿱丶&CDP-8C58;廾
HZK01-ADBF	&I-HZK01-ADBF;	⿳&AJ1-13834;一八&CDP-8BF1;
HZK01-AE40	&HZK01-AE40;	⿰𠄌亅
HZK01-AE47	&HZK01-AE47;	⿰𠄌乚
HZK01-AE5E	&I-HZK01-AE5E;	⿰乙乙
HZK01-AE61	&I-HZK01-AE61;	⿱&CDP-8A60;一
HZK01-AEA3	&I-HZK01-AEA3;	𠄌乚亅
HZK01-AEA5	&I-HZK01-AEA5;	⿺乙厶
HZK01-AEA7	&I-HZK01-AEA7;	⿱&AJ1-14521;&CDP-88CD;
HZK01-AEA9	&I-HZK01-AEA9;	⿰工乚
HZK01-AEC5	&I-HZK01-AEC5;	⿰幺乚
HZK01-AEC6	&I-HZK01-AEC6;	⿱&CDP-8871;&CDP-8871;
HZK01-AEC7	&I-HZK01-AEC7;	⿱廿乚
HZK01-AEC9	&I-HZK01-AEC9;	一巛乚
HZK01-AEE0	&I-HZK01-AEE0;	乙丬乚
HZK01-AEE2	&HZK01-AEE2;	⿹⺄未
HZK01-AEE3	&I-HZK01-AEE3;	⿹⺄去
HZK01-AEE5	&I-HZK01-AEE5;	⿱&CDP-88B3;&CDP-88B3;
HZK01-AEE6	&HZK01-AEE6;	⿺⺄田
HZK01-AEE7	&I-HZK01-AEE7;	&CDP-8DF6;了
HZK01-AEE8	&I-HZK01-AEE8;	⿱飞飞
HZK01-AEE9	&I-HZK01-AEE9;	⿱乛头
HZK01-AEEA	&I-HZK01-AEEA;	⿹⺄&CDP-88C6;
HZK01-AEEB	&I-HZK01-AEEB;	⿰台乚
HZK01-AEEC	&I-HZK01-AEEC;	⿰吉乚
HZK01-AEED	&I-HZK01-AEED;	⿱&CDP-88E1;𠃌
HZK01-AEF0	&HZK01-AEF0;	⿰⾆乚
HZK01-AF41	&I-HZK01-AF41;	⿱折乙
HZK01-AF42	&I-HZK01-AF42;	⿰孛乚
HZK01-AF61	&I-HZK01-AF61;	⿰&CDP-87CD;&CDP-87CD;
HZK01-AF62	&I-HZK01-AF62;	&GT-25225;口乚
HZK01-AF63	&I-HZK01-AF63;	&CDP-89C2;&CDP-89C7;用
HZK01-AF65	&HZK01-AF65;	⿰辛乚
HZK01-AF66	&I-HZK01-AF66;	⿰予予
HZK01-AFA3	&HZK01-AFA3;	⿰𠦝乚
HZK01-AFA4	&HZK01-AFA4;	⿰求九
HZK01-AFA5	&I-HZK01-AFA5;	⿰卓乚
HZK01-AFA6	&I-HZK01-AFA6;	⿰&B-AB41;乚
HZK01-AFA7	&I-HZK01-AFA7;	⿰受乚
HZK01-AFA8	&I-HZK01-AFA8;	⿰壴乚
HZK01-AFA9	&I-HZK01-AFA9;	⿰承丁
HZK01-AFAA	&HZK01-AFAA;	⿰⿱&GT-25225;古乚
HZK01-AFAB	&I-HZK01-AFAB;	⿺乙&B-ADBA;
HZK01-AFC4	&HZK01-AFC4;	⿳囟廿乚
HZK01-AFC5	&HZK01-AFC5;	⿰⿱&GT-25225;守乚
HZK01-AFC7	&HZK01-AFC7;	⿰&GT-36863;乚
HZK01-AFC8	&M-38633;	
HZK01-AFC9	&I-HZK01-AFC9;	十旱乞
HZK01-AFCB	&I-HZK01-AFCB;	杳丂乞
