;; -*- coding: utf-8-mcs-er -*-
U-000280C8	𨃈	⿰𧾷巷
U-000280C9	𨃉	⿰𧾷待
U-000280CA	𨃊	⿰𧾷点
U-000280CB	𨃋	⿰𧾷芾
U-000280CC	𨃌	⿰𧾷持
U-000280CD	𨃍	⿰𧾷突
U-000280CE	𨃎	⿰𧾷𪾋
U-000280CF	𨃏	⿰𧾷侵
U-000280D0	𨃐	⿰𧾷苔
U-000280D1	𨃑	⿰𧾷挑
U-000280D2	𨃒	⿰𧾷⿳刀用力
U-000280D3	𨃓	⿰𧾷茶
U-000280D4	𨃔	⿰𧾷臬
U-000280D5	𨃕	⿰𧾷畜
U-000280D6	𨃖	⿰𧾷荂
U-000280D7	𨃗	⿸朕足
U-000280D8	𨃘	⿰𧾷芻
U-000280D9	𨃙	⿰𧾷栗
U-000280DA	𨃚	⿰𧾷荅
U-000280DB	𨃛	⿰𧾷⿰⻖辛
U-000280DC	𨃜	⿰𧾷條
U-000280DD	𨃝	⿰𧾷徒
U-000280DE	𨃞	⿱般足
U-000280DF	𨃟	⿰𧾷般
U-000280E0	𨃠	⿰𧾷唐
U-000280E1	𨃡	⿰𧾷息
U-000280E2	𨃢	⿱娕足
U-000280E3	𨃣	⿰𧾷蚤
U-000280E4	𨃤	⿰𧾷高
U-000280E5	𨃥	⿰𧾷桀
U-000280E6	𨃦	⿰𧾷𢍃
U-000280E7	𨃧	⿰𧾷𠳮
U-000280E8	𨃨	⿱展足
U-000280E9	𨃩	⿰𧾷&AJ1-02708;
U-000280EA	𨃪	⿰𧾷拳
U-000280EB	𨃫	⿱倒足
U-000280EC	𨃬	⿰𧾷追
U-000280ED	𨃭	⿰𧾷栽
U-000280EE	𨃮	⿰𧾷𭩶
U-000280EF	𨃯	⿰𧾷時
U-000280F0	𨃰	⿰𧾷兼
U-000280F1	𨃱	⿱竝足
U-000280F2	𨃲	⿱書足
U-000280F3	𨃳	⿰𧾷能
U-000280F4	𨃴	⿰𧾷骨
U-000280F5	𨃵	⿰𧾷朕
U-000280F6	𨃶	⿰𧾷格
U-000280F7	𨃷	⿰𧾷祝
U-000280F8	𨃸	⿰𧾷竜
U-000280F9	𨃹	⿰𧾷浪
U-000280FA	𨃺	⿰𧾷&AJ1-03314;
U-000280FB	𨃻	⿰𧾷烈
U-000280FC	𨃼	⿰𧾷祚
U-000280FD	𨃽	⿰𧾷辱
U-000280FE	𨃾	⿱足称
U-000280FF	𨃿	⿰𧾷𢁅
U-00028100	𨄀	⿰𧾷⿸广疌
U-00028101	𨄁	⿰𧾷耽
U-00028102	𨄂	⿰𧾷郎
U-00028103	𨄃	⿰𧾷逐
U-00028104	𨄄	⿰𧾷恋
U-00028105	𨄅	⿰𧾷區
U-00028106	𨄆	⿰𧾷𬀷
U-00028107	𨄇	⿰𧾷⿱&CDP-8BFA;⺢
U-00028108	𨄈	⿰𧾷梁
U-00028109	𨄉	⿰𧾷產
U-0002810A	𨄊	⿰𧾷祭
U-0002810B	𨄋	⿰𧾷屚
U-0002810C	𨄌	⿰𧾷&MJ020683;
U-0002810D	𨄍	⿰𧾷崔
U-0002810E	𨄎	⿰𧾷基
U-0002810F	𨄏	⿰𧾷票
U-00028110	𨄐	⿰𧾷紫
U-00028111	𨄑	⿰𧾷匐
U-00028112	𨄒	⿰𧾷㝡
U-00028113	𨄓	⿰𧾷巢
U-00028114	𨄔	⿰𧾷專
U-00028115	𨄕	⿰𧾷族
U-00028116	𨄖	⿰𧾷捼
U-00028117	𨄗	⿰𧾷康
U-00028118	𨄘	⿰𧾷⿱𡗜𠮷
U-00028119	𨄙	⿰𧾷鳥
U-0002811A	𨄚	⿱將足
U-0002811B	𨄛	⿰𧾷⿱&CDP-v004-8C4F;&CDP-8D71;
U-0002811C	𨄜	⿰𧾷𡝤
U-0002811D	𨄝	⿱務足
U-0002811E	𨄞	⿰𧾷速
U-0002811F	𨄟	⿱堆足
U-00028120	𨄠	⿰𧾷悉
U-00028121	𨄡	⿱孰足
U-00028122	𨄢	⿰𧾷牽
U-00028123	𨄣	⿰𧾷⿱夾夊
U-00028124	𨄤	⿰𧾷雀
U-00028125	𨄥	⿰𧾷虖
U-00028126	𨄦	⿱傱足
U-00028127	𨄧	⿱埶足
U-00028128	𨄨	⿰𧾷敖
U-00028129	𨄩	⿰𧾷副
U-0002812A	𨄪	⿰𧾷⿸𠂆𧆞
U-0002812B	𨄫	⿰𧾷⿱&CDP-8AFC;⿰舟刂
U-0002812C	𨄬	⿸麻足
U-0002812D	𨄭	⿰𧾷𢉖
U-0002812E	𨄮	⿰𧾷率
U-0002812F	𨄯	⿱尉足
U-00028130	𨄰	⿰𧾷張
U-00028131	𨄱	⿰𧾷累
U-00028132	𨄲	⿰𧾷患
U-00028133	𨄳	⿰𧾷莆
U-00028134	𨄴	⿰𧾷執
U-00028135	𨄵	⿰𧾷悼
U-00028136	𨄶	⿰𧾷⿱羊永
U-00028137	𨄷	⿰𧾷爽
U-00028138	𨄸	⿰𧾷⿱日折
U-00028139	𨄹	⿰𧾷造
U-0002813A	𨄺	⿰𧾷堆
U-0002813B	𨄻	⿰𧾷寅
U-0002813C	𨄼	⿰𧾷移
U-0002813D	𨄽	⿰𧾷陷
U-0002813E	𨄾	⿰𧾷寄
U-0002813F	𨄿	⿰𧾷&AJ1-02356;
U-00028140	𨅀	⿰𧾷粒
U-00028141	𨅁	⿰𧾷笠
U-00028142	𨅂	⿰𧾷覔
U-00028143	𨅃	⿰𧾷崇
U-00028144	𨅄	⿰𧾷軟
U-00028145	𨅅	⿰𧾷⿱止技
U-00028146	𨅆	⿰𧾷⿱𡗜圭
U-00028147	𨅇	⿱啐足
U-00028148	𨅈	⿰𧾷𦰧
U-00028149	𨅉	⿰𧾷&MJ013542;
U-0002814A	𨅊	⿰𧾷𰕎
U-0002814B	𨅋	⿰𧾷肅
U-0002814C	𨅌	⿰𧾷爲
U-0002814D	𨅍	⿰𧾷間
U-0002814E	𨅎	⿰𧾷最
U-0002814F	𨅏	⿰𧾷嵐
U-00028150	𨅐	⿱無足
U-00028151	𨅑	⿰𧾷須
U-00028152	𨅒	⿰𧾷尌
U-00028153	𨅓	⿰𧾷奢
U-00028154	𨅔	⿰𧾷朁
U-00028155	𨅕	⿰𧾷替
U-00028156	𨅖	⿰𧾷散
U-00028157	𨅗	⿰𧾷筆
U-00028158	𨅘	⿱彭足
U-00028159	𨅙	⿰𧾷啻
U-0002815A	𨅚	⿱敖足
U-0002815B	𨅛	⿰𧾷⿸尸禹
U-0002815C	𨅜	⿰𧾷異
U-0002815D	𨅝	⿰𧾷牚
U-0002815E	𨅞	⿰𧾷答
U-0002815F	𨅟	⿰𧾷⿳覀二火
U-00028160	𨅠	⿱欽足
U-00028161	𨅡	⿰𧾷𠷎
U-00028162	𨅢	⿰𧾷⿱龷放
U-00028163	𨅣	⿰𧾷⿱垚土
U-00028164	𨅤	⿰𧾷⿱其月
U-00028165	𨅥	⿰𧾷悲
U-00028166	𨅦	⿰𧾷㫺
U-00028167	𨅧	⿰𧾷⿸厃⿳八工口
U-00028168	𨅨	⿰𧾷棠
U-00028169	𨅩	⿱跣⿱&AJ1-04110;日
U-0002816A	𨅪	⿱⿰牙牙⿰足牙
U-0002816B	𨅫	⿲𧾷麦去
U-0002816C	𨅬	⿰𧾷阑
U-0002816D	𨅭	⿰𧾷覃
U-0002816E	𨅮	⿰𧾷都
U-0002816F	𨅯	⿰𧾷華
U-00028170	𨅰	⿰𧾷&AJ1-01731;
U-00028171	𨅱	⿰𧾷⿱芚日
U-00028172	𨅲	⿰𧾷⿱而而
U-00028173	𨅳	⿰𧾷⿱吞𠕁
U-00028174	𨅴	⿱番足
U-00028175	𨅵	⿰𧾷⿱⿰&G0-6566;&G0-6566;羽
U-00028176	𨅶	⿰𧾷叅
U-00028177	𨅷	⿰𧾷隊
U-00028178	𨅸	⿰𧾷等
U-00028179	𨅹	⿰𧾷朝
U-0002817A	𨅺	⿰𧾷&AJ1-01526;
U-0002817B	𨅻	⿰𧾷⿱穴告
U-0002817C	𨅼	⿰𧾷萊
U-0002817D	𨅽	⿰𧾷閑
U-0002817E	𨅾	⿰𧾷森
U-0002817F	𨅿	⿰𧾷越
U-00028180	𨆀	⿰𧾷閒
U-00028181	𨆁	⿰𧾷亶
U-00028182	𨆂	⿰𧾷⿱夭韭
U-00028183	𨆃	⿰𧾷禁
U-00028184	𨆄	⿰𧾷楚
U-00028185	𨆅	⿰𧾷睪
U-00028186	𨆆	⿰𧾷頍
U-00028187	𨆇	⿰𧾷閘
U-00028188	𨆈	⿰𧾷睘
U-00028189	𨆉	⿰𧾷當
U-0002818A	𨆊	⿱鼓足
U-0002818B	𨆋	⿰𧾷義
U-0002818C	𨆌	⿰𧾷煩
U-0002818D	𨆍	⿰𧾷&C1-6636;
U-0002818E	𨆎	⿰𧾷賊
U-0002818F	𨆏	⿰𧾷遂
U-00028190	𨆐	⿰𧾷⿱&CDP-8BFA;足
U-00028191	𨆑	⿰𧾷⿱竹足
U-00028192	𨆒	⿰𧾷準
U-00028193	𨆓	⿰𧾷禽
U-00028194	𨆔	⿰𧾷過
U-00028195	𨆕	⿱献足
U-00028196	𨆖	⿰𧾷零
U-00028197	𨆗	⿰𧾷粤
U-00028198	𨆘	⿰𧾷僉
U-00028199	𨆙	⿰𧾷瑟
U-0002819A	𨆚	⿰𧾷⿱⿵大&C4-2147;羽
U-0002819B	𨆛	⿰𧾷遁
U-0002819C	𨆜	⿱煩足
U-0002819D	𨆝	⿰𧾷會
U-0002819E	𨆞	⿰𧾷農
U-0002819F	𨆟	⿰𧾷董
U-000281A0	𨆠	⿰𧾷葵
U-000281A1	𨆡	⿰𧾷葉
U-000281A2	𨆢	⿰𧾷雷
U-000281A3	𨆣	⿰𧾷萬
U-000281A4	𨆤	⿰𧾷群
U-000281A5	𨆥	⿱損足
U-000281A6	𨆦	⿰𧾷筫
U-000281A7	𨆧	⿱輊足
U-000281A8	𨆨	⿰𧾷⿺𠃊貴
U-000281A9	𨆩	⿰𧾷遍
U-000281AA	𨆪	⿱輕足
U-000281AB	𨆫	⿰𧾷疐
U-000281AC	𨆬	⿱足⿰足足
U-000281AD	𨆭	⿰𧾷⿳白穴方
U-000281AE	𨆮	⿰𧾷耤
U-000281AF	𨆯	⿰𧾷僕
U-000281B0	𨆰	⿰𧾷㬎
U-000281B1	𨆱	⿰𧾷凴
U-000281B2	𨆲	⿰𧾷&C4-4343;
U-000281B3	𨆳	⿰𧾷⿱艹⿰⻖辛
U-000281B4	𨆴	⿰𧾷㷠
U-000281B5	𨆵	⿰𧾷頗
U-000281B6	𨆶	⿰𧾷蒲
U-000281B7	𨆷	⿰𧾷對
U-000281B8	𨆸	⿰𧾷愿
U-000281B9	𨆹	⿰𧾷辣
U-000281BA	𨆺	⿰𧾷漂
U-000281BB	𨆻	⿱滿足
U-000281BC	𨆼	⿰𧾷㕑
U-000281BD	𨆽	⿰𧾷⿸&AJ1-03729;么
U-000281BE	𨆾	⿰𧾷察
U-000281BF	𨆿	⿰𧾷閣
U-000281C0	𨇀	⿰𧾷遣
U-000281C1	𨇁	⿰𧾷廣
U-000281C2	𨇂	⿰𧾷徹
U-000281C3	𨇃	⿰𧾷賛
U-000281C4	𨇄	⿰𧾷憂
U-000281C5	𨇅	⿰𧾷暴
U-000281C6	𨇆	⿰𧾷厲
U-000281C7	𨇇	⿰𧾷⿳龷灬貝
U-000281C8	𨇈	⿰𧾷⿳&CDP-8D52;田⿱厶龰
U-000281C9	𨇉	⿰𧾷⿱山尞
U-000281CA	𨇊	⿰𧾷⿰彳喬
U-000281CB	𨇋	⿰𧾷⿱⿱𠂹一月
U-000281CC	𨇌	⿱⿰木戚足
U-000281CD	𨇍	⿰𧾷輦
U-000281CE	𨇎	⿱𨂷全
U-000281CF	𨇏	⿰𧾷𢀩
U-000281D0	𨇐	⿱⿰舟頁足
U-000281D1	𨇑	⿰𧾷罷
U-000281D2	𨇒	⿰𧾷磊
U-000281D3	𨇓	⿱儉足
U-000281D4	𨇔	⿰𧾷⿶凵⿳𢆶一𢆶
U-000281D5	𨇕	⿰𧾷⿱⿰彳吞𠕁
U-000281D6	𨇖	⿰𧾷盧
U-000281D7	𨇗	⿰𧾷歷
U-000281D8	𨇘	⿱龍足
U-000281D9	𨇙	⿰𧾷衞
U-000281DA	𨇚	⿰𧾷⿱臾貝
U-000281DB	𨇛	⿱足覩
U-000281DC	𨇜	⿱覩足
U-000281DD	𨇝	⿰𧾷閻
U-000281DE	𨇞	⿰𧾷⿺麥去
U-000281DF	𨇟	⿰𧾷燕
U-000281E0	𨇠	⿰𧾷⿸厂墨
U-000281E1	𨇡	⿰𧾷閶
U-000281E2	𨇢	⿰𧾷磨
U-000281E3	𨇣	⿰𧾷覧
U-000281E4	𨇤	⿰𧾷鮮
U-000281E5	𨇥	⿰𧾷蹇
U-000281E6	𨇦	⿰𧾷韱
U-000281E7	𨇧	⿰𧾷⿵門臿
U-000281E8	𨇨	⿰𧾷薛
U-000281E9	𨇩	⿰𧾷毚
U-000281EA	𨇪	⿲𧾷隹頁
U-000281EB	𨇫	⿰𧾷⿱⿻&CDP-8BA8;同㔾
U-000281EC	𨇬	⿰𧾷⿱旦欽
U-000281ED	𨇭	⿸广⿱⿰幸艮足
U-000281EE	𨇮	⿰𧾷闕
U-000281EF	𨇯	⿰𧾷雙
U-000281F0	𨇰	⿰𧾷斷
U-000281F1	𨇱	⿰𧾷邊
U-000281F2	𨇲	⿰𧾷⿵門舀
U-000281F3	𨇳	⿰躎尤
U-000281F4	𨇴	⿰𧾷𠨧
U-000281F5	𨇵	⿰𧾷⿰堯多
U-000281F6	𨇶	⿰𧾷竅
U-000281F7	𨇷	⿰𧾷魏
U-000281F8	𨇸	⿰𧾷簪
U-000281F9	𨇹	⿰𧾷甕
U-000281FA	𨇺	⿰𧾷爵
U-000281FB	𨇻	⿰𧾷&AJ1-07430;
U-000281FC	𨇼	⿰𧾷䜌
U-000281FD	𨇽	⿰𧾷羅
U-000281FE	𨇾	⿰𧾷爕
U-000281FF	𨇿	⿰𧾷繭
U-00028200	𨈀	⿰𧾷顛
U-00028201	𨈁	⿰𧾷籍
U-00028202	𨈂	⿰𧾷䨇
U-00028203	𨈃	⿰蹎真
U-00028204	𨈄	⿰𧾷⿹𢦏齒
U-00028205	𨈅	⿰𧾷蘥
U-00028206	𨈆	⿰𧾷蘭
U-00028207	𨈇	⿰𧾷覽
U-00028208	𨈈	⿰𧾷疊
U-00028209	𨈉	⿰𧾷𡖂
U-0002820A	𨈊	⿰𧾷彎
U-0002820B	𨈋	⿰𧾷籥
U-0002820C	𨈌	⿰𧾷戀
U-0002820D	𨈍	⿰𧾷⿱賏隻
U-0002820E	𨈎	⿰𧾷鸞
U-0002820F	𨈏	𨈏
U-00028210	𨈐	𨈐
U-00028211	𨈑	𨈑
U-00028212	𨈒	⿰身卜
U-00028213	𨈓	⿰身小
U-00028214	𨈔	⿰身凡
U-00028215	𨈕	⿰身⻏
U-00028216	𨈖	⿱身口
U-00028217	𨈗	⿱口身
U-00028218	𨈘	⿰身少
U-00028219	𨈙	⿰身攴
U-0002821A	𨈚	⿰身比
U-0002821B	𨈛	⿰身支
U-0002821C	𨈜	⿰身冄
U-0002821D	𨈝	⿰身丹
U-0002821E	𨈞	⿰身𠬝
U-0002821F	𨈟	⿰身戈
U-00028220	𨈠	⿰身爻
U-00028221	𨈡	⿰身攵
U-00028222	𨈢	⿰身亢
U-00028223	𨈣	⿰身尤
U-00028224	𨈤	⿰身元
U-00028225	𨈥	⿰身毛
U-00028226	𨈦	⿰身仌
U-00028227	𨈧	⿰身引
U-00028228	𨈨	⿰身⿱𠂉几
U-00028229	𨈩	⿰身犮
U-0002822A	𨈪	⿰身只
U-0002822B	𨈫	⿰身主
U-0002822C	𨈬	⿰身丘
U-0002822D	𨈭	⿰身冉
U-0002822E	𨈮	⿰身申
U-0002822F	𨈯	⿰身孕
U-00028230	𨈰	⿰身古
U-00028231	𨈱	⿰身旦
U-00028232	𨈲	⿰身⿱八亏
U-00028233	𨈳	⿰身句
U-00028234	𨈴	⿰身𠮦
U-00028235	𨈵	⿰身皮
U-00028236	𨈶	⿰身母
U-00028237	𨈷	⿰身它
U-00028238	𨈸	⿰身⾆
U-00028239	𨈹	⿰身同
U-0002823A	𨈺	⿰身老
U-0002823B	𨈻	⿰身自
U-0002823C	𨈼	⿰身⿱女小
U-0002823D	𨈽	⿰身&MJ007283;
U-0002823E	𨈾	⿰身并
U-0002823F	𨈿	⿱合身
U-00028240	𨉀	⿰身𡗢
U-00028241	𨉁	⿰身光
U-00028242	𨉂	⿰身⿱中丂
U-00028243	𨉃	⿱任身
