;; -*- coding: utf-8-mcs-er -*-
U-00026164	𦅤	⿰糸閔
U-00026165	𦅥	⿰糸亀
U-00026166	𦅦	⿰糸替
U-00026167	𦅧	⿰糸黹
U-00026168	𦅨	⿹須糸
U-00026169	𦅩	⿰糸㑹
U-0002616A	𦅪	⿳⿲人人人⿲人人人糸
U-0002616B	𦅫	⿰素命
U-0002616C	𦅬	⿱⿰㚔丮糸
U-0002616D	𦅭	⿰糸隊
U-0002616E	𦅮	⿰糸傘
U-0002616F	𦅯	⿰糸等
U-00026170	𦅰	⿰糸覃
U-00026171	𦅱	⿰糸蛛
U-00026172	𦅲	⿰糸越
U-00026173	𦅳	⿰糸⿱⿴&CDP-8CC8;&CDP-88C0;廾
U-00026174	𦅴	⿰尾⿰糸氐
U-00026175	𦅵	⿰糸歲
U-00026176	𦅶	⿰糸葛
U-00026177	𦅷	⿰糸著
U-00026178	𦅸	⿰&JX2-7461;⿱⺊系
U-00026179	𦅹	⿰⿱&CDP-88F0;咅系
U-0002617A	𦅺	⿰糸⿱戾皿
U-0002617B	𦅻	⿰素爰
U-0002617C	𦅼	⿰糸詹
U-0002617D	𦅽	⿱𠂹⿵⿱一八糸
U-0002617E	𦅾	⿱敫糸
U-0002617F	𦅿	⿰糸暈
U-00026180	𦆀	⿰糸羨
U-00026181	𦆁	⿵𣎆糸
U-00026182	𦆂	⿰糸蜀
U-00026183	𦆃	⿰緘欠
U-00026184	𦆄	⿰糸瑟
U-00026185	𦆅	⿰糸㬅
U-00026186	𦆆	⿰糸廉
U-00026187	𦆇	⿰糸⿳卝&CDP-8DE3;口
U-00026188	𦆈	⿰糸雋
U-00026189	𦆉	⿰糸廌
U-0002618A	𦆊	⿰糸⿳⿰丨日一里
U-0002618B	𦆋	⿰糸⿱&CDP-8DE9;貝
U-0002618C	𦆌	⿰糸⿳亠叕大
U-0002618D	𦆍	⿰糸⿸广&CDP-86C4;
U-0002618E	𦆎	⿰糸𥇡
U-0002618F	𦆏	⿰糸⿳艹未𣄼
U-00026190	𦆐	⿰糸⿻&CDP-8D40;&C4-2267;
U-00026191	𦆑	⿰糸⿸厂⿱&CDP-88D4;土
U-00026192	𦆒	⿰糸粤
U-00026193	𦆓	⿰糸&MJ011343;
U-00026194	𦆔	⿰糸&MJ011751;
U-00026195	𦆕	⿲糸車糸
U-00026196	𦆖	⿰糸𤊽
U-00026197	𦆗	⿰⿱𠂹糸勺
U-00026198	𦆘	⿰糸⿱白兒
U-00026199	𦆙	⿰糸雷
U-0002619A	𦆚	⿰糸裊
U-0002619B	𦆛	⿰糸⿳&C6-295F;八夊
U-0002619C	𦆜	⿰糸⿱取&CDP-8C76;
U-0002619D	𦆝	⿰縹寸
U-0002619E	𦆞	⿰糸舞
U-0002619F	𦆟	⿰糸蒙
U-000261A0	𦆠	⿰糸匱
U-000261A1	𦆡	⿰糸⿸厂㲜
U-000261A2	𦆢	⿰糸⿱⺱剡
U-000261A3	𦆣	⿰糸遟
U-000261A4	𦆤	⿰糸⿱𠆢&CDP-85AE;
U-000261A5	𦆥	⿰糸⿳宀&CDP-85A7;虫
U-000261A6	𦆦	⿰糸疑
U-000261A7	𦆧	⿰糸⿱⿻𠈌丨⿸丆工
U-000261A8	𦆨	⿰糸厲
U-000261A9	𦆩	⿰⿱爪爪絲
U-000261AA	𦆪	⿰糸裹
U-000261AB	𦆫	⿱⿰扌⿰並斗糸
U-000261AC	𦆬	⿰糸⿱艹⿰亻&CDP-8BB0;
U-000261AD	𦆭	⿰糸寜
U-000261AE	𦆮	⿰糸⿰⿱山系⺙
U-000261AF	𦆯	⿰糸賔
U-000261B0	𦆰	⿰⿳屮仌屮⿱斤糸
U-000261B1	𦆱	⿰糸榮
U-000261B2	𦆲	⿰糸廖
U-000261B3	𦆳	⿰糸⿱兑兑
U-000261B4	𦆴	⿰糸㬎
