<;; -*- coding: utf-8-mcs-er -*-
HZK11-A5E5	&HZK11-A5E5;	⿱奜田
HZK11-A5E6	&HZK11-A5E6;	⿳⿰丙丙非
HZK11-A644	&HZK11-A644;	⿱&B-B6A4;非
HZK11-A645	&HZK11-A645;	⿱非&GT-21610;
HZK11-A646	&HZK11-A646;	⿰番非
HZK11-A647	&HZK11-A647;	⿱非番
HZK11-A666	&HZK11-A666;	⿰&GT-00004;&B-AB41;
HZK11-A667	&HZK11-A667;	⿰卜&B-AB41;
HZK11-A668	&HZK11-A668;	⿰九&B-AB41;
HZK11-A66A	&HZK11-A66A;	⿰刁&B-AB41;
HZK11-A66B	&HZK11-A66B;	⿱&B-AB41;乃
HZK11-A66C	&HZK11-A66C;	⿰&M-03115;&B-AB41;
HZK11-A6A6	&HZK11-A6A6;	⿰干&B-AB41;
HZK11-A6A7	&HZK11-A6A7;	⿰于&B-AB41;
HZK11-A6A8	&HZK11-A6A8;	⿰工&B-AB41;
HZK11-A6AA	&HZK11-A6AA;	⿱弋&B-AB41;
HZK11-A6AB	&HZK11-A6AB;	⿱&B-AB41;夨
HZK11-A6C6	&HZK11-A6C6;	⿱&B-AB41;&GT-07201;
HZK11-A6C7	&HZK11-A6C7;	⿱久&B-AB41;
HZK11-A6C8	&HZK11-A6C8;	⺄十&B-AB41;
HZK11-A6C9	&HZK11-A6C9;	⿰尸&B-AB41;
HZK11-A6CA	&HZK11-A6CA;	尸&B-AB41;
HZK11-A6CC	&HZK11-A6CC;	⿰夫&B-AB41;
HZK11-A6CD	&HZK11-A6CD;	⿱&B-AB41;云
HZK11-A6E6	&HZK11-A6E6;	⿰支&B-AB41;
HZK11-C9AD	&HZK11-C9AD;	⿰钅庸
HZK11-C9C7	&HZK11-C9C7;	⿰钅竟
HZK11-C9CA	&HZK11-C9CA;	⿰钅&CDP-8C6B;
HZK11-C9CC	&HZK11-C9CC;	⿰钅&GT-17258;
HZK11-C9E7	&HZK11-C9E7;	⿰&B-AAF7;&GT-26651;
HZK11-C9E8	&HZK11-C9E8;	⿰&B-AAF7;&GT-39640;巾升丶
HZK11-C9E9	&HZK11-C9E9;	⿰&B-AAF7;火口心
HZK11-C9EA	&HZK11-C9EA;	⿰&B-AAF7;寇
HZK11-C9EC	&HZK11-C9EC;	⿳&GT-08869;昍&B-AAF7;
HZK11-C9ED	&HZK11-C9ED;	⿰&B-AAF7;宿
HZK11-C9EE	&HZK11-C9EE;	⿰&B-AAF7;窒
HZK11-C9EF	&HZK11-C9EF;	⿰&B-AAF7;&GT-08869;兔
HZK11-C9F0	&HZK11-C9F0;	⿰&B-AAF7;穴厶心
HZK11-C9F1	&HZK11-C9F1;	⿰&B-AAF7;&GT-08869;炎
HZK11-C9F2	&HZK11-C9F2;	⿰&B-E863;斤
HZK11-C9F3	&HZK11-C9F3;	⿰&B-AAF7;&CDP-8DA4;
HZK11-C9F4	&HZK11-C9F4;	⿱強&B-AAF7;
HZK11-C9F5	&HZK11-C9F5;	⿰&B-AAF7;&B-B6A6;
HZK11-CA49	&HZK11-CA49;	⿰&B-AAF7;&B-B6A4;
HZK11-CA4C	&HZK11-CA4C;	⿱務&B-AAF7;
HZK11-CA4E	&HZK11-CA4E;	⿰&B-AAF7;&B-B365;
HZK11-CA4F	&HZK11-CA4F;	⿰&B-AAF7;巢
HZK11-CA50	&HZK11-CA50;	⿰&B-AAF7;&B-B656;
HZK11-CA51	&HZK11-CA51;	⿰&B-AAF7;替
HZK11-CA52	&HZK11-CA52;	⿰&B-AAF7;款
HZK11-A747	&HZK11-A747;	&GT-00004;十&B-AB41;
HZK11-A767	&HZK11-A767;	⿰戈&B-AB41;
