;; -*- coding: utf-8-mcs-er -*-
HZK03-A77C	&HZK03-A77C;	行山一几
HZK03-A77D	&HZK03-A77D;	⿰彳垂
HZK03-A7D1	&HZK03-A7D1;	行先
HZK03-A7F1	&HZK03-A7F1;	⿰彳&B-ADAB;
HZK03-A7F2	&HZK03-A7F2;	⿰彳臿
HZK03-A852	&HZK03-A852;	彳𠂆&B-A8AF;
HZK03-A853	&HZK03-A853;	⿰彳&GT-25242;
HZK03-A854	&HZK03-A854;	彳舟夂
HZK03-A855	&HZK03-A855;	⿰彳俞
HZK03-A856	&HZK03-A856;	行𠫤
HZK03-A857	&HZK03-A857;	⿰彳卻
HZK03-A858	&HZK03-A858;	⿰彳&CDP-88E7;
HZK03-A859	&HZK03-A859;	行&GT-34594;
HZK03-A85A	&HZK03-A85A;	⿰彳&GT-14816;
HZK03-A85C	&HZK03-A85C;	⿰彳屏
HZK03-A85D	&HZK03-A85D;	彳尸羊
HZK03-A85F	&HZK03-A85F;	行&CDP-8B6A;
HZK03-A860	&HZK03-A860;	⿰彳柔
HZK03-A861	&HZK03-A861;	行弄
HZK03-A872	&HZK03-A872;	⿰彳&GT-02025;
HZK03-A873	&HZK03-A873;	⿲彳⿱正正
HZK03-A874	&HZK03-A874;	⿰彳&B-B1CE;
HZK03-A875	&HZK03-A875;	彳戈口土
HZK03-A876	&HZK03-A876;	⿰彳&B-B0AC;
HZK03-A877	&HZK03-A877;	彳戈口山
HZK03-A879	&HZK03-A879;	彳見寸
HZK03-A87A	&HZK03-A87A;	彳𠃊口耳
HZK03-A8B4	&HZK03-A8B4;	行山王
HZK03-A8B5	&HZK03-A8B5;	彳山一&CDP-87F5;攵
HZK03-A8B6	&HZK03-A8B6;	行山&GT-17214;
HZK03-A8B7	&HZK03-A8B7;	行𦈢
HZK03-A8B8	&HZK03-A8B8;	彳千干心
HZK03-A8B9	&HZK03-A8B9;	⿲彳亻&CDP-8BB0;
HZK03-CA5A	&I-HZK03-CA5A;	⿱&GT-00458;弓
HZK03-CA5B	&I-HZK03-CA5B;	⿰弓几
HZK03-CA5C	&I-HZK03-CA5C;	⿰弓九
HZK03-CA70	&I-HZK03-CA70;	⿰弓&I-G0-5356;
HZK03-CA71	&HZK03-CA71;	⿰弓干
HZK03-CA72	&HZK03-CA72;	⿰弓于
HZK03-CA73	&HZK03-CA73;	⿰弓亏
HZK03-CA74	&I-HZK03-CA74;	⿰弓土
HZK03-CA75	&I-HZK03-CA75;	⿱弓大
HZK03-CA76	&I-HZK03-CA76;	⿰弓巾
HZK03-CA78	&I-HZK03-CA78;	弓&GT-01888;丶
HZK03-CA79	&I-HZK03-CA79;	⿰弓&GT-00132;
HZK03-CA7A	&HZK03-CA7A;	⿰弓勺
HZK03-CA7B	&HZK03-CA7B;	⿰弓弓
HZK03-CAB2	&HZK03-CAB2;	⿰弓厷
