;; -*- coding: utf-8-mcs-er -*-
CB00172	&I-CB00172;	⿰月韱
CB00173	&I-CB00173;	&I-CB00173;
CB00174	&I-CB00174;	⿰木川
CB00175	&I-CB00175;	⿰木正
CB00176	&I-CB00176;	⿰木伐
CB00177	&I-CB00177;	⿰木百
CB00178	&I-CB00178;	⿰木奈
CB00179	&I-CB00179;	⿰木&AJ1-01148;
CB00180	&I-CB00180;	⿰木昌
CB00181	&I-CB00181;	⿰木品
CB00182	&I-CB00182;	⿰木&MJ010165;
CB00183	&I-CB00183;	⿰木畜
CB00184	&I-CB00184;	⿰木&AJ1-07300;
CB00185	&I-CB00185;	⿰木患
CB00186	&I-CB00186;	⿰木&MJ020687;
CB00187	&I-CB00187;	⿰⺘著
CB00188	&JX1-7635;	⿰木&AJ1-16871;
CB00189	&I-CB00189;	⿰木蜜
CB00190	㮏	⿰木柰
CB00191	&I-CB00191;	⿰歹凶
CB00192	&I-CB00192;	⿰歹斯
CB00193	&I-CB00193;	⿰火𦓔
CB00194	&I-CB00194;	⿰火槀
CB00195	&I-CB00195;	⿰火因
CB00196	&I-CB00196;	⿰火臣
CB00197	&I-CB00197;	⿰火孛
CB00198	&I-CB00198;	⿰火矣
CB00199	&I-CB00199;	⿰火赤
CB00200	焿	⿰火庚
CB00201	&I-CB00201;	⿰火&MJ025952;
CB00202	&I-CB00202;	⿰火農
CB00203	&I-CB00203;	⿰火赫
CB00204	爎	⿰火寮
CB00205	㸌	⿰火霍
CB00206	&I-CB00206;	⿰火耎
CB00207	&CB00207;	⿰火苪
CB00208	&I-CB00208;	⿰火烝
CB00209	&I-CB00209;	⿰火僉
CB00210	&I-CB00210;	⿱火儿
CB00211	&I-CB00211;	⿰牛句
CB00212	&I-CB00212;	⿰牛羊
CB00213	&I-CB00213;	⿱牛牪
CB00214	&I-CB00214;	⿰王⿱⿰禾刀木
CB00215	&HD-TK-01057720;	⿰王巳
CB00216	&I-CB00216;	⿰王民
CB00217	&I-CB00217;	⿰王&JX1-764F;
CB00218	&I-CB00218;	⿰王回
CB00219	&I-CB00219;	⿰王成
CB00220	&I-CB00220;	⿰王步
CB00221	&I-CB00221;	⿰王車
CB00222	&I-CB00222;	⿰王留
CB00223	&I-CB00223;	⿰王&AJ1-19722;
CB00224	&I-CB00224;	⿰王梨
CB00225	&I-CB00225;	⿰王貴
CB00226	&I-CB00226;	⿰王黎
CB00227	&I-CB00227;	⿰王褱
CB00228	&I-CB00228;	⿱代巾
CB00229	&I-CB00229;	⿱匆心
CB00230	&I-CB00230;	⿰去卩
CB00231	㰤	⿰可欠
CB00232	&I-CB00232;	⿰古頁
CB00233	&I-CB00233;	⿰⺘䀗
CB00234	&I-CB00234;	⿰⺘隽
CB00235	&CB00235;	⿰⺘&C4-2861;
CB00236	&I-CB00236;	⿰⺘勾
CB00237	&CB00237;	⿰⺘壬
CB00238	&I-CB00238;	⿰⺘毛
CB00239	&I-CB00239;	⿰⺘片
CB00240	&I-CB00240;	⿰⺘王
CB00241	&I-CB00241;	⿰⺘可
CB00242	&I-CB00242;	⿰⺘只
CB00243	&I-CB00243;	⿰⺘它
CB00244	&I-CB00244;	⿰⺘西
CB00245	&I-CB00245;	⿰⺘豆
CB00246	&I-CB00246;	⿰⺘妻
CB00247	&I-CB00247;	⿰⺘突
CB00248	&I-CB00248;	⿰⺘致
CB00249	&I-CB00249;	⿰⺘&MJ010355;
CB00250	&I-CB00250;	⿰⺘桀
CB00251	&I-CB00251;	⿰⺘堂
CB00252	&I-CB00252;	⿰⺘強
CB00253	&I-CB00253;	⿰⺘棠
CB00254	&I-CB00254;	⿰⺘&MJ020687;
CB00255	&I-CB00255;	⿰⺘歷
CB00256	&I-CB00256;	⿰⺘羅
CB00257	&I-CB00257;	⿰⺘市
CB00258	&I-CB00258;	⿱民䖵
CB00259	&I-CB00259;	⿱田各
CB00260	&I-CB00260;	⿱白儿
CB00261	&I-CB00261;	⿰目尤
CB00262	&I-CB00262;	⿰目尼
CB00263	&I-CB00263;	⿰目妾
CB00264	&I-CB00264;	⿰目侯
CB00265	&I-CB00265;	⿰矛&g2-AJ1-04009;
CB00266	&I-CB00266;	⿰矛&GT-37890;
CB00267	&I-CB00267;	⿰矛贊
