;; -*- coding: utf-8-mcs-er -*-
C3-2121	&I-C3-2121;	丨
C3-222E	&I-C3-222E;	⿱口丂
C3-222F	&I-C3-222F;	⿰口又
C3-2230	&I-C3-2230;	⿰口九
C3-2231	&I-C3-2231;	⿱九口
C3-2232	&I-C3-2232;	⿴囗又
C3-2233	&I-C3-2233;	⿰&GT-K00199;力
C3-2234	&I-C3-2234;	⿰&GT-K00199;卜
C3-2235	&C3-2235;	⿺夂人
C3-2236	&I-C3-2236;	⿰夕卩
C3-2237	&I-C3-2237;	⿱大十
C3-2238	&I-C3-2238;	⿱大&CDP-89AB;
C3-2239	&I-C3-2239;	&C3-2239;
C3-223A	&I-C3-223A;	⿰大凵
C3-223B	奵	⿰女丁
C3-223C	&C3-223C;	⿱宀又
C3-223D	&I-C3-223D;	⿱宀儿
C3-223E	&I-C3-223E;	⿰&GT-K00064;寸
C3-223F	&I-C3-223F;	⿱&CDP-8DD8;小
C3-2240	&C3-2240;	⿸尸又
C3-2241	&C3-2241;	⿰山几
C3-2242	&I-C3-2242;	⿱山𠆢
C3-2243	&C3-2243;	⿱山入
C3-2244	&I-C3-2244;	⿱山乃
C3-2245	&MJ000944;	&MJ000944;
C3-2246	&C3-2246;	⿰巾匕
C3-2247	&I-C3-2247;	⿸广丁
C3-2248	&I-C3-2248;	⿸广厶
C3-2249	&I-C3-2249;	⿹弋二
C3-224A	&C3-224A;	⿰&CDP-8968;&G0-6566;
C3-224B	&I-C3-224B;	⿰彳丁
C3-224C	&I-C3-224C;	⿰忄丁
C3-224D	&I-C3-224D;	⿰忄力
C3-224E	&I-C3-224E;	⿸戶乙
C3-224F	&I-C3-224F;	⿰扌刀
C3-2250	&I-C3-2250;	⿰扌九
C3-2251	&I-C3-2251;	⿰丨日
C3-2252	&I-C3-2252;	⿺木丶
C3-2253	&I-C3-2253;	歺
C3-2254	&C3-2254;	⿺乙水
C3-2255	&C3-2255;	⿰氵七
C3-2256	&I-C3-2256;	⿰氵几
C3-2257	&I-C3-2257;	⿱水丶
C3-2258	&I-C3-2258;	⿰氵人
C3-2259	&I-C3-2259;	⿰氵丂
C3-225A	&I-C3-225A;	⿰⺩乚
C3-225B	&I-C3-225B;	疒
C3-225C	&I-C3-225C;	癶
C3-225D	&I-C3-225D;	⿰&GT-K00064;⻏
C3-225E	&I-C3-225E;	⿰丁⻏
C3-225F	&C3-225F;	⿰几⻏
C3-2260	&I-C3-2260;	⿰阝丁
C3-2261	&I-C3-2261;	両
C3-2262	&I-C3-2262;	⿱北一
C3-2263	&I-C3-2263;	⿱丿去
C3-2264	&I-C3-2264;	⿰台乚
C3-2265	&I-C3-2265;	⿱⺈&CDP-8BFE;
C3-2266	&I-C3-2266;	⿱一旦
C3-2267	&C3-2267;	⿰⺅&C1-4464;
C3-2268	&I-C3-2268;	⿰⺅少
C3-2269	&C3-2269;	⿰⺅內
C3-226A	&I-C3-226A;	⿰⺅升
C3-226B	&I-C3-226B;	⿰⺅夭
C3-226C	&I-C3-226C;	⿰⺅勿
C3-226D	&I-C3-226D;	⿰⺅予
C3-226E	&I-C3-226E;	⿰⺅王
C3-226F	&I-C3-226F;	⿰⺅反
C3-2270	&I-C3-2270;	⿰⺅友
