;; -*- coding: utf-8-mcs-er -*-
M-49100 	&I-M-49100;	⿰⺖狂
M-49101 	&I-M-49101;	⿱孛心
M-49102 	&I-M-49102;	⿰⺖奉
M-49103 	&I-M-49103;	⿱&CDP-8CA6;⿰心卪
M-49104 	&I-M-49104;	⿰⺖⿰矛攵
M-49105 	&I-M-49105;	⿱民思
M-49106 	&I-M-49106;	⿰恧&MJ006315;
M-49107 	&M-49107;	⿰⺖悶
M-49108 	&M-49108;	⿰⺖閑
M-49109 	&M-49109;	⿰⺖彖
M-49110 	&I-M-49110;	
M-49111 	&M-49111;	
M-49112 	&M-49112;	
M-49113 	&I-M-49113;	⿱隋心
M-49114 	&M-49114;	
M-49115 	&M-49115;	⿰⺖⿱炎舛
M-49116 	&M-49116;	
M-49117 	&I-M-49117;	⿰⺖麇
M-49118 	&M-49118;	
M-49119 	&I-M-49119;	⿰戈⿹⺄&CDP-88C6;
M-49120 	&M-49120;	
M-49121 	&I-M-49121;	⿹戈含
M-49122 	&C4-3D41;	
M-49123 	&M-49123;	⿰⿱山炅戈
M-49124 	&M-49124;	⿰⿱晋火戈
M-49125 	&M-49125;	
M-49126 	&I-M-49126;	⿰⺘瓦
M-49127 	&I-M-49127;	⿰⺘⿱⺈&MJ006315;
M-49128 	&I-M-49128;	⿰⺘印
M-49129 	&I-M-49129;	
M-49130 	&I-M-49130;	
M-49131 	&I-M-49131;	⿰⺘⿱癶矢
M-49132 	&M-49132;	
M-49133 	&M-49133;	
M-49134 	&M-49134;	
M-49135 	&MJ037033;	
M-49136 	&I-M-49136;	⿰⺘⿳夂工貝
M-49137 	&M-49137;	
M-49138 	&M-49138;	
M-49139 	&I-M-49139;	
M-49140 	&I-M-49140;	
M-49141 	&M-49141;	
M-49142 	&I-M-49142;	⿰合攵
M-49143 	&M-49143;	
M-49144 	&I-M-49144;	⿰⿱民日⺙
M-49145 	&I-M-49145;	
M-49146 	&I-M-49146;	⿰⿱民日⿱攵山
M-49147 	&M-49147;	
M-49148 	&I-M-49148;	
M-49149 	&M-49149;	
M-49150 	&I-M-49150;	⿰日&MJ006315;
M-49151 	&I-M-49151;	⿱⿺日𠃊勿
M-49152 	&I-M-49152;	⿰日昔
M-49153 	&I-M-49153;	⿳⿰彐彐冖日
M-49154 	&MJ037801;	
M-49155 	&M-49155;	
M-49156 	&I-M-49156;	⿰⿱日出⿵大糸
M-49157 	𣌩	
M-49158 	&M-49158;	
M-49159 	&I-M-49159;	
M-49160 	&I-M-49160;	
M-49161 	&I-M-49161;	⿰木叧
M-49162 	&I-M-49162;	
M-49163 	&I-M-49163;	
M-49164 	&I-M-49164;	⿰木𠕋
M-49165 	桝	⿰木舛
M-49166 	&I-M-49166;	⿰木⿳一⿵&CDP-8BC0;巳一
M-49167 	&I-M-49167;	⿹𢦒木
M-49168 	&I-M-49168;	⿰木⿱目匕
M-49169 	&I-M-49169;	⿱不束
M-49170 	&I-M-49170;	⿰木忝
M-49171 	&I-M-49171;	⿰木奈
M-49172 	&M-49172;	⿱木甾
M-49173 	&I-M-49173;	⿰木⿱太皿
M-49174 	&M-49174;	
M-49175 	&M-49175;	
M-49176 	&C3-474E;	⿰木殺
M-49177 	&I-M-49177;	⿰木荁
M-49178 	&I-M-49178;	
M-49179 	&M-49179;	
M-49180 	&M-49180;	
M-49181 	&M-49181;	
M-49182 	&M-49182;	
M-49183 	&M-49183;	
M-49184 	&I-M-49184;	⿰喿冘
M-49185 	&M-49185;	
M-49186 	&I-M-49186;	⿰木⿱臾貝
M-49187 	&M-49187;	
M-49188 	&M-49188;	
M-49189 	&I-M-49189;	⿰木㞡
M-49190 	&I-M-49190;	⿰木⿱⿰東東日
M-49191 	&I-M-49191;	⿳⿲木缶木⺫&C6-2A69;
M-49192 	&M-49192;	
M-49193 	&I-M-49193;	
M-49194 	&M-49194;	
M-49195 	&I-M-49195;	⿰⿱彡止𣎵
M-49196 	&I-M-49196;	⿰⿱止圼止
M-49197 	&I-M-49197;	
M-49198 	&I-M-49198;	⿰歹焉
M-49199 	&M-49199;	
M-49200 	&M-49200;	⿰⿳士冖王殳
M-49201 	&M-49201;	
M-49202 	&M-49202;	
M-49203 	𣯟	⿰旁毛
M-49204 	&I-M-49204;	⿰&JX1-764F;⿳己⿴囗&CDP-89D5;土
M-49205 	&M-49205;	⿰气虎
M-49206 	&I-M-49206;	
M-49207 	&I-M-49207;	⿰⿱人人水
M-49208 	&I-M-49208;	⿰氵丗
M-49209 	&M-49209;	
M-49210 	&M-49210;	
M-49211 	&M-49211;	
M-49212 	&M-49212;	
M-49213 	&M-49213;	⿰氵⿱大火
M-49214 	&M-49214;	⿰氵⿳一⿵&CDP-8BC0;巳一
M-49215 	&I-M-49215;	⿰氵但
M-49216 	&I-M-49216;	⿰氵𠃬
M-49217 	&I-M-49217;	⿰氵卑
M-49218 	&I-M-49218;	⿰氵⿱⿵&CDP-8BC0;&CDP-8C78;日
M-49219 	&I-M-49219;	⿰氵㚔
M-49220 	&I-M-49220;	
M-49221 	&I-M-49221;	⿰氵⿹弓⿴囗&CDP-89D5;
M-49222 	&I-M-49222;	
M-49223 	&M-49223;	⿰氵癸
M-49224 	&I-M-49224;	⿰氵⿹𢏚口
M-49225 	&M-49225;	⿰氵⿱止𦨉
M-49226 	&I-M-49226;	⿰氵盟
M-49227 	&I-M-49227;	⿱氵⿹&CDP-8AC2;口
M-49228 	&M-49228;	
M-49229 	&M-49229;	
M-49230 	&I-M-49230;	⿰氵⿱艹昜
M-49231 	&I-M-49231;	⿰潪亏
M-49232 	&I-M-49232;	⿰氵盥
M-49233 	&I-M-49233;	⿰氵⿰亻&CDP-85DA;
M-49234 	&I-M-49234;	⿰氵⿳⿵芙一日厶
M-49235 	&M-49235;	
M-49236 	&M-49236;	
M-49237 	&MJ016224;	
M-49238 	&I-M-49238;	
M-49239 	&M-49239;	⿰滜頁
M-49240 	&M-49240;	
M-49241 	&M-49241;	
M-49242 	&I-M-49242;	⿰灃⿱太皿
M-49243 	&M-49243;	⿰火⿳一⿵&CDP-8BC0;巳一
M-49244 	&M-49244;	⿰火⿱廿廾
M-49245 	&M-49245;	
M-49246 	&I-M-49246;	
M-49247 	&M-49247;	
M-49248 	&M-49248;	⿳止舟火
M-49249 	&M-49249;	⿰火⿱自王
M-49250 	&M-49250;	⿱芻火
M-49251 	&M-49251;	⿳山火炅
M-49252 	&M-49252;	⿳炏冖丼
M-49253 	&I-M-49253;	⿰火⿱㢴土
M-49254 	&I-M-49254;	⿱𠂹⿸厂火
M-49255 	&I-M-49255;	⿱喜火
M-49256 	&I-M-49256;	⿰炙坴
M-49257 	&I-M-49257;	⿳廿⿲&CDP-8BC5;口匕火
M-49258 	&M-49258;	⿰火⿱𡗜炅
M-49259 	&I-M-49259;	⿳山&CDP-8B62;炎
M-49260 	&M-49260;	
M-49261 	&I-M-49261;	⿰火⿳廿&CDP-85B2;土
M-49262 	&I-M-49262;	
M-49263 	&I-M-49263;	
M-49264 	&I-M-49264;	
M-49265 	&I-M-49265;	⿰𢨋⺣
M-49266 	&I-M-49266;	⿰炙棗
M-49267 	&M-49267;	
M-49268 	&M-49268;	
M-49269 	&M-49269;	
M-49270 	&M-49270;	
M-49271 	&M-49271;	⿰火⿱鹵&CDP-8941;
M-49272 	&HD-KS-221300;	
M-49273 	&M-49273;	
M-49274 	&M-49274;	
M-49275 	&M-49275;	
M-49276 	&M-49276;	
M-49277 	𤕫	⿰爿一
M-49278 	&M-49278;	⿸𤕫矢
M-49279 	&I-M-49279;	⿰爿⿱⻀于
M-49280 	&M-49280;	⿰爿⿱&CDP-88F0;酉
M-49281 	&M-49281;	⿰爿⿱酉皿
M-49282 	&M-49282;	
M-49283 	&I-M-49283;	⿰&CDP-8BA9;攴
M-49284 	&I-M-49284;	⿰&CDP-8BA9;𠂔
M-49285 	&I-M-49285;	
M-49286 	&M-49286;	
M-49287 	&I-M-49287;	
M-49288 	&I-M-49288;	
M-49289 	&M-49289;	
M-49290 	&M-49290;	
M-49291 	&I-M-49291;	⿰犭⿸戶乙
M-49292 	&I-M-49292;	⿰犭&CDP-8841;
M-49293 	&I-M-49293;	⿰犭𠄢
M-49294 	&I-M-49294;	⿲犭申攵
M-49295 	&I-M-49295;	⿰⿱&MJ000944;&CDP-8958;犬
M-49296 	&I-M-49296;	⿰犭㪿
M-49297 	&I-M-49297;	⿰犭倉
M-49298 	&M-49298;	
M-49299 	&M-49299;	
M-49300 	&M-49300;	
M-49301 	&M-49301;	
M-49302 	&M-49302;	⿰玢王
M-49303 	&I-M-49303;	⿰王&CDP-8755;
M-49304 	&I-M-49304;	⿰王臾
M-49305 	&I-M-49305;	
M-49306 	&I-M-49306;	
M-49307 	&M-49307;	
M-49308 	&I-M-49308;	⿱⿰耳㕚玉
M-49309 	&I-M-49309;	⿰王⿸&JSP-4E70;目
M-49310 	&M-49310;	
M-49311 	&M-49311;	⿰王殿
M-49312 	&M-49312;	⿰王⿱𡗜炅
M-49313 	&I-M-49313;	
M-49314 	&I-M-49314;	⿰王⿳廿&CDP-85B2;土
M-49315 	&I-M-49315;	⿰王毄
M-49316 	&I-M-49316;	⿰⿱𠧪木玉
M-49317 	&I-M-49317;	⿰王瞏
M-49318 	&I-M-49318;	⿰王⿻瑟人
M-49319 	&I-M-49319;	⿰王⿸厤玉
M-49320 	&M-49320;	
M-49321 	&M-49321;	
M-49322 	&I-M-49322;	⿱出瓦
M-49323 	&I-M-49323;	⿱&C4-2263;瓦
M-49324 	&I-M-49324;	
M-49325 	&M-49325;	⿱秌瓦
M-49326 	&I-M-49326;	⿰斯瓦
M-49327 	&M-49327;	⿰⿱㢴土瓦
M-49328 	&I-M-49328;	
M-49329 	&I-M-49329;	
M-49330 	&I-M-49330;	⿱&CDP-85C8;用
