;; -*- coding: utf-8-mcs-er -*-
U+2CFC4	𬿄	⿰亻⿱&JX2-746A;⿻日乚
U+2CFC5	𬿅	⿰亻&MJ024955;
U+2CFC6	𬿆	⿰亻&AJ1-03424;
U+2CFC7	𬿇	⿰亻爹
U+2CFC8	𬿈	⿰亻隻
U+2CFC9	𬿉	⿰亻𥫠
U+2CFCA	𬿊	⿲亻皃也
U+2CFCB	𬿋	⿰介卖
U+2CFCC	𬿌	⿰亻⿱𠚍又
U+2CFCD	𬿍	⿰亻𫼋
U+2CFCE	𬿎	⿱&AJ1-01305;仁
U+2CFCF	𬿏	⿰亻𧥥
U+2CFD0	𬿐	⿰付&AJ1-03554;
U+2CFD1	𬿑	⿰亻𮖿
U+2CFD2	𬿒	⿰亻𪯍
U+2CFD3	𬿓	⿰亻&AJ1-04467;
U+2CFD4	𬿔	⿰&CDP-8B7A;殺
U+2CFD5	𬿕	⿰亻崖
U+2CFD6	𬿖	⿰亻虗
U+2CFD7	𬿗	⿰&CDP-8B7A;&MJ007321;
U+2CFD8	𬿘	⿰亻梨
U+2CFD9	𬿙	⿰亻⿱攵里
U+2CFDA	𬿚	⿰亻鹿
U+2CFDB	𬿛	⿰亻康
U+2CFDC	𬿜	⿰亻&MJ018213;
U+2CFDD	𬿝	⿰亻𭓶
U+2CFDE	𬿞	⿰亻商
U+2CFDF	𬿟	⿰亻寂
U+2CFE0	𬿠	⿰以&AJ1-01619;
U+2CFE1	𬿡	⿰亻⿱&CDP-8B5C;隹
U+2CFE2	𬿢	⿰亻&AJ1-02123;
U+2CFE3	𬿣	⿲亻青攵
U+2CFE4	𬿤	⿰亻⿷匚⿱日𢆶
U+2CFE5	𬿥	⿰亻⿱丽木
U+2CFE6	𬿦	⿰亻項
U+2CFE7	𬿧	⿰&CDP-8B7A;⿱攵里
U+2CFE8	𬿨	⿰亻歮
U+2CFE9	𬿩	⿰&CDP-8B7A;⿱攵貝
U+2CFEA	𬿪	⿰亻奥
U+2CFEB	𬿫	⿰亻&MJ025979;
U+2CFEC	𬿬	⿲亻&CDP-8C7A;&CDP-8CCE;
U+2CFED	𬿭	⿲亻韋亍
U+2CFEE	𬿮	⿰&AJ1-21123;攵
U+2CFEF	𬿯	⿰亻&AJ1-01522;
U+2CFF0	𬿰	⿰亻頊
U+2CFF1	𬿱	⿰亻⿱枼灬
U+2CFF2	𬿲	⿰亻⿱⑧&AJ1-18056;
U+2CFF3	𬿳	⿰亻&AJ1-02112;
U+2CFF4	𬿴	⿰亻𡻕
U+2CFF5	𬿵	⿰&CDP-8B7A;&AJ1-18500;
U+2CFF6	𬿶	⿰亻⿳隹一勿
U+2CFF7	𬿷	⿰介蛋
U+2CFF8	𬿸	⿰亻𭔺
U+2CFF9	𬿹	⿰亻𤾇
U+2CFFA	𬿺	⿰亻察
U+2CFFB	𬿻	⿰亻⿳⑦一吋
U+2CFFC	𬿼	⿰亻𭫒
U+2CFFD	𬿽	⿰亻⿱⿻一曲&MJ007334;
U+2CFFE	𬿾	⿰&CDP-8B7A;&MJ022301;
U+2CFFF	𬿿	⿰亻熏
U+2D000	𭀀	⿰亻賔
U+2D001	𭀁	⿰亻韯
U+2D002	𭀂	⿰亻頡
U+2D003	𭀃	⿰&GT-07490;⿻日乂
U+2D004	𭀄	⿰亻&AJ1-04636;
U+2D005	𭀅	⿰亻樂
U+2D006	𭀆	⿰亻頭
U+2D007	𭀇	⿰亻⿱吉馬
U+2D008	𭀈	⿰亻鴫
U+2D009	𭀉	⿰亻⿱攵黑
U+2D00A	𭀊	⿰亻䳆
U+2D00B	𭀋	⿰亻&AJ1-06185;
U+2D00C	𭀌	⿰亻&AJ1-05120;
U+2D00D	𭀍	⿰&AJ1-14348;也
U+2D00E	𭀎	⿱&AJ1-14348;也
U+2D00F	𭀏	⿰亻𭼩
U+2D010	𭀐	⿰介&MJ022770;
U+2D011	𭀑	⿰亻&AJ1-01752;
U+2D012	𭀒	⿰亻&AJ1-06190;
U+2D013	𭀓	⿰亻覽
U+2D014	𭀔	⿰亻屬
U+2D015	𭀕	⿰僉常
U+2D016	𭀖	⿷&AJ1-04209;丶
U+2D017	𭀗	⿻丶𠃔
U+2D018	𭀘	⿰𠃋𠃔
U+2D019	𭀙	⿱𠂉𠃔
U+2D01A	𭀚	⿱&AJ1-04110;𠃔
U+2D01B	𭀛	⿹⺄允
U+2D01C	𭀜	⿻丶𭀘	⿰𠃋𭀗
U+2D01D	𭀝	⿵&AJ1-04209;⺀
U+2D01E	𭀞	⿺元夕
U+2D01F	𭀟	⿱⿸②人&AJ1-04209;
U+2D020	𭀠	⿱𠂉&CDP-8BCB;
U+2D021	𭀡	𭀡
U+2D022	𭀢	⿱大兄
U+2D023	𭀣	⿱𠂉⿷&CDP-89B9;丶
U+2D024	𭀤	⿱&MJ006341;儿
U+2D025	𭀥	⿱𠂉⿷&CDP-89B9;厶
U+2D026	𭀦	⿰光夭
U+2D027	𭀧	⿺兑干
U+2D028	𭀨	⿰光広
U+2D029	𭀩	⿺元㸒
U+2D02A	𭀪	⿺元虎
U+2D02B	𭀫	⿺元長
U+2D02C	𭀬	⿺光光
U+2D02D	𭀭	⿱癶⿳一口𢌬
U+2D02E	𭀮	⿺光弄
U+2D02F	𭀯	⿺⿱甶儿弗
U+2D030	𭀰	⿱&MJ007230;&MJ007230;
U+2D031	𭀱	⿱𭀠𭀠
U+2D032	𭀲	⿰先官
U+2D033	𭀳	⿰先贯
U+2D034	𭀴	⿰光&MJ006477;
U+2D035	𭀵	⿰先&AJ1-02708;
U+2D036	𭀶	⿰光&MJ025932;
U+2D037	𭀷	⿰先&MJ025013;
U+2D038	𭀸	⿺⿱甶儿⿴囗𠂭
U+2D039	𭀹	⿺兒&AJ1-04553;
U+2D03A	𭀺	⿰先善
U+2D03B	𭀻	⿱內𠃍
U+2D03C	𭀼	⿰入去
U+2D03D	𭀽	⿱石入
U+2D03E	𭀾	⿱叩入
U+2D03F	𭀿	⿱入好
U+2D040	𭁀	⿱作入
U+2D041	𭁁	⿱𠓛⿱俐木
U+2D042	𭁂	⿱𠓛𭔽
U+2D043	𭁃	⿳𠓛⿰⻖倶⿲木歹木
U+2D044	𭁄	⿱丷&CDP-8874;
U+2D045	𭁅	⿰公&AJ1-03708;
U+2D046	𭁆	⿱𠂒八
U+2D047	𭁇	⿱⿰&CDP-8969;よ&GT-K00264;
U+2D048	𭁈	⿱⿰&CDP-8969;&U-00020006;&GT-K00264; [J]	⿳⿰&CDP-8969;⿻二丨&GT-K00264;[X]
U+2D049	𭁉	⿱⿰&CDP-8969;&MJ006310;&GT-K00264;
U+2D04A	𭁊	⿱次八
U+2D04B	𭁋	⿱分內
U+2D04C	𭁌	⿰&MJ007844;方
U+2D04D	𭁍	⿰公布
U+2D04E	𭁎	⿰公且
U+2D04F	𭁏	⿱八&MJ041343;
U+2D050	𭁐	⿱𠂉⿱一&A-CDP-8CDE;
U+2D051	𭁑	⿰&MJ007844;江
U+2D052	𭁒	⿱則八
U+2D053	𭁓	⿰公甫
U+2D054	𭁔	⿳廿田六
U+2D055	𭁕	⿱⿲&CDP-8B7A;&MJ006310;&AJ1-14521;&GT-K00264;
U+2D056	𭁖	⿰六彔
U+2D057	𭁗	⿳⿱八一&JX2-746A;⿻天丿
U+2D058	𭁘	⿱独六
U+2D059	𭁙	⿰&MJ007844;亭
U+2D05A	𭁚	⿰&AJ1-01694;背
U+2D05B	𭁛	⿰六&MJ025952;
U+2D05C	𭁜	⿰公&AJ1-02949;
U+2D05D	𭁝	⿱&AJ1-01800;&AJ1-01694;
U+2D05E	𭁞	⿰其&MJ022336;
U+2D05F	𭁟	⿵冂②
U+2D060	𭁠	⿻冂⿻二丨	⿻&AJ1-19173;丨
U+2D061	𭁡	⿳一丿&AJ1-19173;
U+2D062	𭁢	⿻市⿰一一
U+2D063	𭁣	⿳一丷⿻&AJ1-19173;丨
U+2D064	𭁤	⿰&EGB-7A29;&EGB-7A29;
U+2D065	𭁥	⿰&MJ007313;又
U+2D066	𭁦	⿵⺆&AJ1-02697;
U+2D067	𭁧	⿰内&AJ1-02455;
U+2D068	𭁨	⿵⺆米
U+2D069	𭁩	⿱&MJ031960;&AJ1-19173;
U+2D06A	𭁪	⿱云𭁠
U+2D06B	𭁫	⿱世&AJ1-19173;
U+2D06C	𭁬	⿰&EGB-7A29;有
U+2D06D	𭁭	⿱⺌⿵冂氺
U+2D06E	𭁮	⿱好内
U+2D06F	𭁯	⿱世𭁠
U+2D070	𭁰	⿰&AJ1-03209;&AJ1-02847;
U+2D071	𭁱	⿵冂⿳土灬土
U+2D072	𭁲	⿱㚘⿻⿵冂丨𠈌	⿱㚘⿻⿵冂丨㸚[X]
U+2D073	𭁳	⿱冖巳
U+2D074	𭁴	⿱冖亘
U+2D075	𭁵	⿱冖⿺元攵
U+2D076	𭁶	⿱𠔼&C3-263E;
U+2D077	𭁷	⿱冖具
U+2D078	𭁸	⿱冖卓
U+2D079	𭁹	⿱㓁圭
U+2D07A	𭁺	⿱冖𥘑
U+2D07B	𭁻	⿱冖屇
U+2D07C	𭁼	⿱冖是
U+2D07D	𭁽	⿳冖中⿹𠃌灬
U+2D07E	𭁾	⿱冖&AJ1-02549;
U+2D07F	𭁿	⿱冖&AJ1-22106;
U+2D080	𭂀	⿳冖&JX2-746A;⿱一&CDP-8B67;
U+2D081	𭂁	⿳冖旧⿹勹灬
U+2D082	𭂂	⿱㓁&AJ1-03487;
U+2D083	𭂃	⿱冖&AJ1-01744;
U+2D084	𭂄	⿰冥以
U+2D085	𭂅	⿱冖⿳&MJ006350;&JX2-746A;心
U+2D086	𭂆	⿰冫丂
U+2D087	𭂇	⿰冫力
U+2D088	𭂈	⿰冫山
U+2D089	𭂉	⿰冫&AJ1-04295;
U+2D08A	𭂊	⿰冫尼
U+2D08B	𭂋	⿰冫吉
U+2D08C	𭂌	⿰冫虫
U+2D08D	𭂍	⿰冫&AJ1-02065;
U+2D08E	𭂎	⿰冫羊
U+2D08F	𭂏	⿰冫位
U+2D090	𭂐	⿰冫𠯳
U+2D091	𭂑	⿰冫叔
U+2D092	𭂒	⿰冫凮
U+2D093	𭂓	⿰冫&AJ1-01687;
U+2D094	𭂔	⿰冫&AJ1-01305;
U+2D095	𭂕	⿰冫彔
U+2D096	𭂖	⿰冫風
U+2D097	𭂗	⿰冫斿
U+2D098	𭂘	⿰冫胥
U+2D099	𭂙	⿰冫隻
U+2D09A	𭂚	⿰冫&AJ1-01273;
U+2D09B	𭂛	⿰冫烏
U+2D09C	𭂜	⿰冫桼
U+2D09D	𭂝	⿰冫常
U+2D09E	𭂞	⿰冫啇
U+2D09F	𭂟	⿰冫貴
U+2D0A0	𭂠	⿰冫間
U+2D0A1	𭂡	⿰冫&MJ013501;
U+2D0A2	𭂢	⿰冫&AJ1-01522;
U+2D0A3	𭂣	⿰冫閠
U+2D0A4	𭂤	⿰冷&AJ1-04109;
U+2D0A5	𭂥	⿰冫&MJ009279;
U+2D0A6	𭂦	⿰冫⿱冖⿳王&JX2-746A;心	⿰冫𭂅[X]
U+2D0A7	𭂧	⿰冫&AJ1-03877;
U+2D0A8	𭂨	⿰冫螎
U+2D0A9	𭂩	⿵几十
U+2D0AA	𭂪	⿰&CDP-8CBD;几
U+2D0AB	𭂫	⿵凢丶
U+2D0AC	𭂬	⿵几⺀
U+2D0AD	𭂭	⿱分几
U+2D0AE	𭂮	⿺凡刄
U+2D0AF	𭂯	⿱𠂉⿻几十
U+2D0B0	𭂰	⿱央几
U+2D0B1	𭂱	⿵几有
U+2D0B2	𭂲	⿰&U-00021D42;几
U+2D0B3	𭂳	⿱下夙
U+2D0B4	𭂴	⿵几呂
U+2D0B5	𭂵	⿱⿵几水𠘳
U+2D0B6	𭂶	⿱龴⿵几⿱王口
U+2D0B7	𭂷	⿱䀠几
U+2D0B8	𭂸	⿰⿸虍𬺻几
U+2D0B9	𭂹	⿵几⿳巛一⿳巛一山
U+2D0BA	𭂺	⿵几熏
U+2D0BB	𭂻	⿶&AJ1-04248;𠙻
U+2D0BC	𭂼	⿶&AJ1-04248;⿱⿰巛𡿨⿰巛𡿨
U+2D0BD	𭂽	⿰出杀
U+2D0BE	𭂾	⿱⿳一日八⿶&AJ1-04248;女
U+2D0BF	𭂿	⿰凶恶
U+2D0C0	𭃀	⿰出恶
U+2D0C1	𭃁	⿰出惡
U+2D0C2	𭃂	⿻二刀
U+2D0C3	𭃃	⿰刀七
U+2D0C4	𭃄	⿰十刀
U+2D0C5	𭃅	⿰刄刂
U+2D0C6	𭃆	⿺叉刂
U+2D0C7	𭃇	⿰刀叉
U+2D0C8	𭃈	⿰刀兮
U+2D0C9	𭃉	⿰刀文
U+2D0CA	𭃊	⿱刁⿰刁刁
U+2D0CB	𭃋	⿰刀巴
U+2D0CC	𭃌	⿰龶刀
U+2D0CD	𭃍	⿻⿻二丨𠚪
U+2D0CE	𭃎	⿰⿹𠃌𠂇井
U+2D0CF	𭃏	⿰&JX1-2E6F;刂
U+2D0D0	𭃐	⿰&JX1-2E6F;刀
U+2D0D1	𭃑	⿰刀&JX1-2E6F;
U+2D0D2	𭃒	⿰𪠲刂
U+2D0D3	𭃓	⿱分凡
U+2D0D4	𭃔	⿰⿻丿屮刄
U+2D0D5	𭃕	⿰刀吉
U+2D0D6	𭃖	⿱列刀
U+2D0D7	𭃗	⿰曲刂
U+2D0D8	𭃘	⿱刀肉
U+2D0D9	𭃙	⿱刀自
U+2D0DA	𭃚	⿰生刃
U+2D0DB	𭃛	⿰刀杀
U+2D0DC	𭃜	⿱伏刀
U+2D0DD	𭃝	⿰刀伐
U+2D0DE	𭃞	⿰名刂
U+2D0DF	𭃟	⿱合刀
U+2D0E0	𭃠	⿰刀&MJ006467;
U+2D0E1	𭃡	⿰礻⿹勹丿
U+2D0E2	𭃢	⿰刀&JSP-6136;
U+2D0E3	𭃣	⿰谷刂
U+2D0E4	𭃤	⿰豸刂
U+2D0E5	𭃥	⿰⿱𠂒内刂
U+2D0E6	𭃦	⿰刀弟
U+2D0E7	𭃧	⿰⿱允夕刂
U+2D0E8	𭃨	⿰衤⿹勹丿
U+2D0E9	𭃩	⿱林刀
U+2D0EA	𭃪	⿰&C3-2463;刂
