;; -*- coding: utf-8-mcs-er -*-
HZK09-A7D2	&I-HZK09-A7D2;	⿱⺿&B-B2E6;
HZK09-A7E3	&I-HZK09-A7E3;	⿱⺿脘
HZK09-A7E4	&I-HZK09-A7E4;	⿱⺿彫
HZK09-A7E5	&I-HZK09-A7E5;	⿱⺿⿹勹苗
HZK09-A7E7	&I-HZK09-A7E7;	⿱⺿&GT-17074;
HZK09-A7E8	&HZK09-A7E8;	⿱⺿&B-B3BD;
HZK09-A7E9	&I-HZK09-A7E9;	⿱⺿&GT-26215;
HZK09-A7EA	&I-HZK09-A7EA;	⿱⺿⺨者
HZK09-A7EB	&I-HZK09-A7EB;	⿱⺿猗
HZK09-A7ED	&HZK09-A7ED;	⿱⺿許
HZK09-A844	&I-HZK09-A844;	⿱⺿冫咸
HZK09-A845	&I-HZK09-A845;	⿱⺿&GT-21565;
HZK09-A847	&I-HZK09-A847;	⿱⺿&B-B3C2;
HZK09-A848	&HZK09-A848;	⿱⺿庵
HZK09-A849	&I-HZK09-A849;	⿱⺿庳
HZK09-A84A	&I-HZK09-A84A;	⿱⺿疵
HZK09-A84B	&I-HZK09-A84B;	⿱⺿&M-21684;
HZK09-A84E	&I-HZK09-A84E;	⿱&JX1-7A78;木
HZK09-A84F	&I-HZK09-A84F;	⿱⺿章
HZK09-A850	&HZK09-A850;	⿱⺿竟
HZK09-A851	&I-HZK09-A851;	⿱⺿&CDP-8C6B;
HZK09-A865	&HZK09-A865;	⿱⺿率
HZK09-A866	&I-HZK09-A866;	⿱⺾⿵门&B-AB41;
HZK09-A868	&I-HZK09-A868;	⿱⺿清
HZK09-A86B	&HZK09-A86B;	⿱⺿淺
HZK09-A86C	&HZK09-A86C;	⿱⺿⿰⺡&G0-3747;
HZK09-A86F	&HZK09-A86F;	⿱⺿⿰⺡𠫓木
HZK09-A870	&I-HZK09-A870;	⿱⺿淡
HZK09-A871	&HZK09-A871;	⿱⺿&GT-22574;
HZK09-A872	&I-HZK09-A872;	⿱⺿婆
HZK09-A873	&I-HZK09-A873;	⿳⺿宀&GT-03992;
HZK09-A8A7	&I-HZK09-A8A7;	⿳⺿宀&B-AAF7;
HZK09-A8AA	&I-HZK09-A8AA;	⿱⺾⻈曷
HZK09-A8AB	&I-HZK09-A8AB;	⿱苾虫
HZK09-A8AC	&I-HZK09-A8AC;	⿱⺿問
HZK09-A8AD	&I-HZK09-A8AD;	⿱⺿&CDP-8AD3;
HZK09-A8AE	&HZK09-A8AE;	⿱⺿&CDP-88C9;
HZK09-A8B0	&I-HZK09-A8B0;	⿱茛皿
HZK09-A8B2	&I-HZK09-A8B2;	⿱⺿&CDP-8DA4;
HZK09-A8B3	&I-HZK09-A8B3;	⿳⺿巳其
HZK09-A8B4	&I-HZK09-A8B4;	⿱⺿弓卑
HZK09-A8B5	&HZK09-A8B5;	⿱⺿&B-B6A6;
HZK09-CA62	&HZK09-CA62;	⿰纟⻌夆
HZK09-CA63	&HZK09-CA63;	⿰&GT-35079;&M-28120;
HZK09-CA64	&HZK09-CA64;	⿰&GT-35079;留
HZK09-CA67	&HZK09-CA67;	⿰纟衰
HZK09-CAA4	&HZK09-CAA4;	⿰纟&B-B0AA;
HZK09-CAA5	&HZK09-CAA5;	⿰纟&GT-11620;&B-A8BD;
HZK09-CAA7	&HZK09-CAA7;	⿰纟离
HZK09-CAA8	&HZK09-CAA8;	⿰&GT-35079;唐
HZK09-CAAC	&HZK09-CAAC;	⿰纟&C1-5674;
HZK09-CAAE	&HZK09-CAAE;	⿰纟&M-01483;
HZK09-CAAF	&I-HZK09-CAAF;	⿱朔&G0-7469;
HZK09-CAC5	&I-HZK09-CAC5;	⿰&GT-35079;剡
HZK09-CAC8	&HZK09-CAC8;	⿰纟宀兵
HZK09-CACA	&I-HZK09-CACA;	⿰&GT-35079;冥
HZK09-CACB	&HZK09-CACB;	⿰&GT-35079;&GT-11133;&M-03115;
HZK09-CACC	&HZK09-CACC;	⿰&GT-35079;&M-07716;
HZK09-CACD	&HZK09-CACD;	⿰&GT-35079;&GT-31635;
HZK09-CACE	&I-HZK09-CACE;	⿰&GT-35079;&GT-44405;
HZK09-CACF	&I-HZK09-CACF;	⿱務&G0-7469;
HZK09-CAD1	&I-HZK09-CAD1;	⿰&GT-35079;邕
HZK09-CAD2	&HZK09-CAD2;	⿰&GT-35079;&GT-12528;
HZK09-CAD3	&HZK09-CAD3;	⿰&GT-35079;&CDP-8CE9;&GT-31489;
HZK09-CAE5	&HZK09-CAE5;	⿰&GT-35079;&CDP-86C5;大&CDP-8971;
HZK09-CAE6	&HZK09-CAE6;	⿰糹埶
HZK09-CAE8	&HZK09-CAE8;	⿰糹堇
HZK09-CAE9	&I-HZK09-CAE9;	⿰&GT-35079;&M-14866;
HZK09-CAEA	&I-HZK09-CAEA;	⿰&GT-35079;木&B-A8A9;
HZK09-CAED	&I-HZK09-CAED;	⿱專&G0-7469;
HZK09-CB45	&HZK09-CB45;	⿰&GT-35079;區
HZK09-CB46	&HZK09-CB46;	⿰&GT-35079;堅
HZK09-CB48	&HZK09-CB48;	⿰纟&GT-31700;
HZK09-CB4A	&HZK09-CB4A;	⿰&GT-35079;戚
HZK09-CB4B	&I-HZK09-CB4B;	⿱戚&G0-7469;
HZK09-CB4C	&I-HZK09-CB4C;	⿰&GT-35079;爽
HZK09-CB4D	&HZK09-CB4D;	⿰&GT-35079;匾
HZK09-CB4E	&HZK09-CB4E;	⿰&GT-35079;⿱&G0-3747;土
HZK09-CB66	&HZK09-CB66;	⿰纟&GT-18098;
HZK09-CB67	&HZK09-CB67;	⿱略&G0-7469;
HZK09-CB69	&HZK09-CB69;	⿰纟累
HZK09-CB6A	&I-HZK09-CB6A;	⿰糹國
HZK09-CB6B	&I-HZK09-CB6B;	⿰&GT-35079;⿰口口田
HZK09-CBA7	&HZK09-CBA7;	⿰纟⿰贝贝女
HZK09-CBA8	&I-HZK09-CBA8;	⿰&GT-35079;⿱⺮正
HZK09-CBAA	&HZK09-CBAA;	⿱⿰每&GT-21300;&G0-7469;
HZK09-CBAB	&I-HZK09-CBAB;	⿰&GT-35079;亻丙攴
HZK09-CBAC	&I-HZK09-CBAC;	⿰&GT-35079;&CDP-8CBD;白&CDP-8C78;几
HZK09-A8C6	&HZK09-A8C6;	⿱⺿&B-B6A4;
HZK09-A8C7	&I-HZK09-A8C7;	⿱⺿屮&CDP-8CC4;屮
HZK09-A8C8	&I-HZK09-A8C8;	⿱⺿&B-B6A9;
HZK09-A8C9	&I-HZK09-A8C9;	⿱⺿阝&B-ADB5;
HZK09-A8CA	&I-HZK09-A8CA;	⿱⺿婦
HZK09-A8CB	&I-HZK09-A8CB;	⿱⺿&GT-36924;
HZK09-A8CC	&I-HZK09-A8CC;	⿱⺿&CDP-87F5;火&GT-00458;土
HZK09-A8E7	&I-HZK09-A8E7;	⿱⺿&GT-35079;囗&GT-K00064;
HZK09-A8E8	&I-HZK09-A8E8;	⿱⺿&GT-35079;瓜
HZK09-A8EA	&I-HZK09-A8EA;	⿱⺿巢
HZK09-A8EB	&HZK09-A8EB;	⿱⺿&GT-26940;
HZK09-A8EC	&I-HZK09-A8EC;	⿱⺿&CDP-8A55;玉
HZK09-A8ED	&HZK09-A8ED;	⿳⺿&GT-07370;&G0-3747;
HZK09-A8EE	&HZK09-A8EE;	⿱⺿款
HZK09-A8F0	&I-HZK09-A8F0;	⿱⺿&B-B6B5;
HZK09-A947	&HZK09-A947;	⿱⺿提
HZK09-A948	&HZK09-A948;	⿱⺿揖
HZK09-A949	&HZK09-A949;	⿱⺿揭
HZK09-A94C	&I-HZK09-A94C;	⿱⺿壺
HZK09-A94D	&I-HZK09-A94D;	⿱⺿揆
HZK09-A94E	&I-HZK09-A94E;	⿱⺿揉
HZK09-A94F	&I-HZK09-A94F;	⿱⺿惡
HZK09-A950	&I-HZK09-A950;	⿱萁木
HZK09-A951	&HZK09-A951;	⿱⺿斯
HZK09-A952	&I-HZK09-A952;	⿱&B-DB68;木
HZK09-A953	&I-HZK09-A953;	⿱&B-DB68;灬
HZK09-A954	&I-HZK09-A954;	⿱⺿散
HZK09-A955	&I-HZK09-A955;	⿱⺿&JX2-7642;
HZK09-A956	&I-HZK09-A956;	⿱⺿朝
HZK09-A957	&I-HZK09-A957;	⿳⺿丅口丨吊
HZK09-A958	&I-HZK09-A958;	⿱⺿&JX1-756E;
HZK09-A959	&I-HZK09-A959;	⿱⺿棋
HZK09-A95A	&I-HZK09-A95A;	⿱⺿&GT-19035;
HZK09-A95B	&I-HZK09-A95B;	⿱⺿木彔
HZK09-A967	&I-HZK09-A967;	⿱莆皿
HZK09-A96A	&HZK09-A96A;	⿱⺿&B-DC5E;
HZK09-A96C	&I-HZK09-A96C;	⿱⺿&M-24207;
HZK09-A96D	&I-HZK09-A96D;	⿳⺿一&CDP-8670;
HZK09-A96F	&I-HZK09-A96F;	⿱⺿&CDP-8AD6;
HZK09-A970	&I-HZK09-A970;	⿳⺿一&CDP-85A1;
HZK09-A971	&HZK09-A971;	⿱⺿猋
HZK09-A9A9	&I-HZK09-A9A9;	⿱⺿殘
HZK09-A9AC	&HZK09-A9AC;	⿱⺿&M-14927;
HZK09-A9AD	&I-HZK09-A9AD;	⿱⺿悲
HZK09-A9AE	&I-HZK09-A9AE;	⿳⺿&CDP-8DF6;止
HZK09-A9AF	&I-HZK09-A9AF;	⿱&B-D3A5;朿
HZK09-A9B0	&HZK09-A9B0;	⿱⺿紫
HZK09-A9B1	&I-HZK09-A9B1;	⿱⺿卓戈
HZK09-A9B2	&I-HZK09-A9B2;	⿱⺿⺊&CDP-8BC0;必大
HZK09-A9B3	&I-HZK09-A9B3;	⿱⺿掌
HZK09-A9B5	&I-HZK09-A9B5;	⿰草&M-00291;
HZK09-A9B6	&I-HZK09-A9B6;	⿱⺿晻
HZK09-A9B7	&I-HZK09-A9B7;	⿱⺿&M-23352;
HZK09-A9BA	&I-HZK09-A9BA;	⿱⺿晶
HZK09-A9BB	&HZK09-A9BB;	⿱⺿異
HZK09-A9CB	&I-HZK09-A9CB;	⿳⺿品亏
HZK09-A9CC	&HZK09-A9CC;	⿱⺿山&GT-31489;斤
