;; -*- coding: utf-8-mcs-er -*-
U+30142	𰅂	⿰屠刂
U+30143	𰅃	⿱⿲木夕木分
U+30144	𰅄	⿰察刂
U+30145	𰅅	⿱勒列
U+30146	𰅆	⿱刺南
U+30147	𰅇	⿱敵刀
U+30148	𰅈	⿰⿱免⿰免免刂
U+30149	𰅉	⿰井力
U+3014A	𰅊	⿱旦力
U+3014B	𰅋	⿰北力
U+3014C	𰅌	⿰力民
U+3014D	𰅍	⿰夹力
U+3014E	𰅎	⿰力行
U+3014F	𰅏	⿱加卢
U+30150	𰅐	⿱⿰子力皿
U+30151	𰅑	⿰⿱井田力
U+30152	𰅒	⿱狠力
U+30153	𰅓	⿱既力
U+30154	𰅔	⿰虑力
U+30155	𰅕	⿰曹力
U+30156	𰅖	⿰裂力
U+30157	𰅗	⿰力犂
U+30158	𰅘	⿱助宗
U+30159	𰅙	⿰弄動
U+3015A	𰅚	⿱加應
U+3015B	𰅛	⿹勹八
U+3015C	𰅜	⿱勿囙
U+3015D	𰅝	⿺色勺
U+3015E	𰅞	⿱伏包
U+3015F	𰅟	⿺包共
U+30160	𰅠	⿱独包
U+30161	𰅡	⿰才匕
U+30162	𰅢	⿱比欠
U+30163	𰅣	⿺克北
U+30164	𰅤	⿷匚禾
U+30165	𰅥	⿷匚卖
U+30166	𰅦	⿷匚单
U+30167	𰅧	⿷匸相
U+30168	𰅨	⿷匚斬
U+30169	𰅩	⿷匚䝿
U+3016A	𰅪	⿷匸支
U+3016B	𰅫	⿷23匸夘
U+3016C	𰅬	⿷叵皮
U+3016D	𰅭	⿱八十
U+3016E	𰅮	⿱乃十
U+3016F	𰅯	⿱⿳⺄⺄⺄十
U+30170	𰅰	⿱十⿴𠀃丨
U+30171	𰅱	⿱凶十
U+30172	𰅲	⿱世十
U+30173	𰅳	⿱𡗜十
U+30174	𰅴	⿱十𰋙
U+30175	𰅵	⿳匕凶十
U+30176	𰅶	⿱古巴
U+30177	𰅷	⿰十⿱巛止
U+30178	𰅸	⿰十長
U+30179	𰅹	⿱𰅰双
U+3017A	𰅺	⿰贯千
U+3017B	𰅻	⿰华甲
U+3017C	𰅼	⿰半杰
U+3017D	𰅽	⿰甚⿻廾⿱丶丶
U+3017E	𰅾	⿰旁升
U+3017F	𰅿	⿰半彭
U+30180	𰆀	⿱南南
U+30181	𰆁	⿰升墓
U+30182	𰆂	⿱南⿰南南
U+30183	𰆃	⿱⺊因
