;; -*- coding: utf-8-mcs-er -*-
U+2B9AE	𫦮	⿰其力
U+2B9AF	𫦯	⿱林力
U+2B9B0	𫦰	⿰劳力
U+2B9B1	𫦱	⿰冐力
U+2B9B2	𫦲	⿰⿱口目力
U+2B9B3	𫦳	⿱绝力
U+2B9B4	𫦴	⿺晃力
U+2B9B5	𫦵	⿱宁助
U+2B9B6	𫦶	⿰男老
U+2B9B7	𫦷	⿱䅆力
U+2B9B8	𫦸	⿰勞力
U+2B9B9	𫦹	⿱加⿰加加
U+2B9BA	𫦺	⿰⿱&U-i001+5F01;佳力
U+2B9BB	𫦻	⿰男皆
U+2B9BC	𫦼	⿰翟力
U+2B9BD	𫦽	⿰勤生
U+2B9BE	𫦾	⿰學力
U+2B9BF	𫦿	⿱動⿰動動
U+2B9C0	𫧀	⿹勹土
U+2B9C1	𫧁	⿹勹川
U+2B9C2	𫧂	⿰告勺
U+2B9C3	𫧃	⿰勿会
U+2B9C4	𫧄	⿹勹朕
U+2B9C5	𫧅	⿹勹䋣
U+2B9C6	𫧆	⿹勹⿱庚糸
U+2B9C7	𫧇	⿱匕匕
U+2B9C8	𫧈	⿰甚匕
U+2B9C9	𫧉	⿰㲋匕
U+2B9CA	𫧊	⿰繇匕
U+2B9CB	𫧋	⿷匚凵
U+2B9CC	𫧌	⿷匚夨
U+2B9CD	𫧍	⿷匚日	⿷匸日
U+2B9CE	𫧎	⿷匚止
U+2B9CF	𫧏	⿷匚从
U+2B9D0	𫧐	⿷匚目
U+2B9D1	𫧑	⿷匚亘
U+2B9D2	𫧒	⿷匚同
U+2B9D3	𫧓	⿷匚甫
U+2B9D4	𫧔	⿱丶匨
U+2B9D5	𫧕	⿰医兄
U+2B9D6	𫧖	⿷匚黄
U+2B9D7	𫧗	⿷匚⿱𠆢品
U+2B9D8	𫧘	⿷匚⿰⿱牛皿夭
U+2B9D9	𫧙	⿰⿷匚鳥于
U+2B9DA	𫧚	⿷匚㝬
U+2B9DB	𫧛	⿷匚𫯺
U+2B9DC	𫧜	⿱區地
U+2B9DD	𫧝	⿷匚贑
U+2B9DE	𫧞	⿱奴十
U+2B9DF	𫧟	⿰半已
U+2B9E0	𫧠	⿱𢆶十
U+2B9E1	𫧡	⿰古丰
U+2B9E2	𫧢	⿱千𠦅
U+2B9E3	𫧣	⿰南亇
U+2B9E4	𫧤	⿰十專
U+2B9E5	𫧥	⿰十㒼
U+2B9E6	𫧦	⿰率亇
U+2B9E7	𫧧	⿰連升
U+2B9E8	𫧨	⿰𠦪允
U+2B9E9	𫧩	⿰𠦝昷
U+2B9EA	𫧪	⿱升農
U+2B9EB	𫧫	⿰索⿱丮口
U+2B9EC	𫧬	⿰午諸
U+2B9ED	𫧭	⿰𠦝喿
U+2B9EE	𫧮	⿺麦卜
U+2B9EF	𫧯	⿱⺊呙
U+2B9F0	𫧰	⿰卜虎
U+2B9F1	𫧱	⿰卡克
U+2B9F2	𫧲	⿰卡宏
U+2B9F3	𫧳	⿰卡或
U+2B9F4	𫧴	⿰占叕
U+2B9F5	𫧵	⿰卡耶
U+2B9F6	𫧶	⿰卡竟
U+2B9F7	𫧷	⿰𥻆产
U+2B9F8	𫧸	⿰貞登
U+2B9F9	𫧹	⿰丅卩
U+2B9FA	𫧺	⿰壬卩
U+2B9FB	𫧻	⿰𠂎𪠁
U+2B9FC	𫧼	⿱卵丱
U+2B9FD	𫧽	⿰⿱𫠩止卩
U+2B9FE	𫧾	⿱卵壯
U+2B9FF	𫧿	⿰卵卖
U+2BA00	𫨀	⿳爫罒即
U+2BA01	𫨁	⿰蠃卩
U+2BA02	𫨂	⿸厂巾
U+2BA03	𫨃	⿸厂未
U+2BA04	𫨄	⿸厂弁
U+2BA05	𫨅	⿺厂百
U+2BA06	𫨆	⿸厂夹
U+2BA07	𫨇	⿸厂羊
U+2BA08	𫨈	⿸厂𤆌
U+2BA09	𫨉	⿸厂⿱日巾
U+2BA0A	𫨊	⿸厂谷
U+2BA0B	𫨋	⿸厂尚
U+2BA0C	𫨌	⿸厂頁
U+2BA0D	𫨍	⿸厂⿰田斤
U+2BA0E	𫨎	⿰仄我
U+2BA0F	𫨏	⿸厂音
U+2BA10	𫨐	⿸厂炱
U+2BA11	𫨑	⿸厂馬
U+2BA12	𫨒	⿸厂⿰古𪠲
U+2BA13	𫨓	⿸厂⿱吕巴
U+2BA14	𫨔	⿸厂⿻乖二
U+2BA15	𫨕	⿸厂般
U+2BA16	𫨖	⿸厂⿰肴刂
U+2BA17	𫨗	⿸厂𡥨
U+2BA18	𫨘	⿸厂𫪡
U+2BA19	𫨙	⿸厂⿰⿳爫幺又入
U+2BA1A	𫨚	⿸厂部
U+2BA1B	𫨛	⿸厂絅
U+2BA1C	𫨜	⿸厂飲
U+2BA1D	𫨝	⿸厂⿱哀巾
U+2BA1E	𫨞	⿸厂⿱𣥤止
U+2BA1F	𫨟	⿸厂孴
U+2BA20	𫨠	⿸厂墉
U+2BA21	𫨡	⿸厂雐
U+2BA22	𫨢	⿸厂⿰⿱幺月&CDP-89B0;
U+2BA23	𫨣	⿸厂𬴘
U+2BA24	𫨤	⿸厂⿱林晋
U+2BA25	𫨥	⿰厭氣
U+2BA26	𫨦	⿰厶卜
U+2BA27	𫨧	⿰⿱厶女⿹𠃌一
U+2BA28	𫨨	⿺更厶
U+2BA29	𫨩	⿰台𫧇
U+2BA2A	𫨪	⿰⿱厶女司
U+2BA2B	𫨫	⿰厶貞
U+2BA2C	𫨬	⿰去來
U+2BA2D	𫨭	⿰去易
U+2BA2E	𫨮	⿰去舍
U+2BA2F	𫨯	⿰去悲
U+2BA30	𫨰	⿰悲去
U+2BA31	𫨱	⿱⿰菐菐去
U+2BA32	𫨲	⿰丂又
U+2BA33	𫨳	⿰丹又
U+2BA34	𫨴	⿰未又
U+2BA35	𫨵	⿱戊又
U+2BA36	𫨶	⿰且又
U+2BA37	𫨷	⿰白又
U+2BA38	𫨸	⿰矢又
U+2BA39	𫨹	⿱双匹
U+2BA3A	𫨺	⿰志又
U+2BA3B	𫨻	⿰&CDP-8C7A;殳
U+2BA3C	𫨼	⿰⿷匚⿱个个又
U+2BA3D	𫨽	⿰東又
U+2BA3E	𫨾	⿰厓又
U+2BA3F	𫨿	⿰享又
U+2BA40	𫩀	⿰柰又
U+2BA41	𫩁	⿰㣇又
U+2BA42	𫩂	⿰亯又
U+2BA43	𫩃	⿲𠂈皀又
U+2BA44	𫩄	⿱叀収
U+2BA45	𫩅	⿱双卒
U+2BA46	𫩆	⿱理又
U+2BA47	𫩇	⿰⿱隹子又
U+2BA48	𫩈	⿰𢛳又
U+2BA49	𫩉	⿺礼取
U+2BA4A	𫩊	⿰⿱尹⿻吕𡭔又
U+2BA4B	𫩋	⿰⿱龷㡀犮
U+2BA4C	𫩌	⿱䣈又
U+2BA4D	𫩍	⿰反雷
U+2BA4E	𫩎	⿱論又
U+2BA4F	𫩏	⿴囗丨	⿱&CDP-8A44;一
U+2BA50	𫩐	⿰口丂
U+2BA51	𫩑	⿱丆口
U+2BA52	𫩒	⿰口巾
U+2BA53	𫩓	⿰口凢
U+2BA54	𫩔	⿰口亡
U+2BA55	𫩕	⿰口广
U+2BA56	𫩖	⿰口门
U+2BA57	𫩗	⿰口叉
U+2BA58	𫩘	⿰口中
U+2BA59	𫩙	⿻吕乚
U+2BA5A	𫩚	⿰口冈
U+2BA5B	𫩛	⿰口从
U+2BA5C	𫩜	⿰口爪
U+2BA5D	𫩝	⿰口之
U+2BA5E	𫩞	⿰台⿹𠃌一
U+2BA5F	𫩟	⿰口巧
U+2BA60	𫩠	⿱龸口
U+2BA61	𫩡	⿰口北
U+2BA62	𫩢	⿰口史
U+2BA63	𫩣	⿱央口
U+2BA64	𫩤	⿰口业
U+2BA65	𫩥	⿰口旧
U+2BA66	𫩦	⿰口𠕄
U+2BA67	𫩧	⿱令口
U+2BA68	𫩨	⿱夗口
U+2BA69	𫩩	⿰口刍
U+2BA6A	𫩪	⿰口兰
U+2BA6B	𫩫	⿰口厌
U+2BA6C	𫩬	⿱㓞口
U+2BA6D	𫩭	⿰口早
U+2BA6E	𫩮	⿰口虫
