;; -*- coding: utf-8-mcs-er -*-
HZK05-A46C	&HZK05-A46C;	⿰⺡⿱玄儿
HZK05-C9BB	&HZK05-C9BB;	⿰&CDP-8BA9;犬
HZK05-C9BC	&HZK05-C9BC;	⿰&CDP-8BA9;尤
HZK05-C9BD	&HZK05-C9BD;	⿰&CDP-8BA9;戈
HZK05-C9BE	&HZK05-C9BE;	⿰&CDP-8BA9;比
HZK05-C9BF	&HZK05-C9BF;	⿱比牛
HZK05-C9C0	&HZK05-C9C0;	⿰牜𢆰
HZK05-C9C1	&HZK05-C9C1;	⿰牜攴
HZK05-C9C2	&HZK05-C9C2;	⿱日牛
HZK05-C9C4	&HZK05-C9C4;	⿱牛牛
HZK05-C9C5	&HZK05-C9C5;	⿰牜手
HZK05-C9C6	&HZK05-C9C6;	⿰牜毛
HZK05-C9D5	&HZK05-C9D5;	⿰牜斤
HZK05-C9D6	&HZK05-C9D6;	⿰牜介
HZK05-C9D7	&HZK05-C9D7;	⿰牜今
HZK05-C9D8	&HZK05-C9D8;	⿰牜分
HZK05-C9D9	&HZK05-C9D9;	⿱分牛
HZK05-C9F5	&HZK05-C9F5;	⿰牜冄
HZK05-CA56	&HZK05-CA56;	⿲牜⿰几几
HZK05-CA57	&HZK05-CA57;	⿰牜亢
HZK05-CA58	&HZK05-CA58;	⿰牜方
HZK05-CA59	&HZK05-CA59;	⿰牜斗
HZK05-A6F4	&HZK05-A6F4;	⿰⺡⿷匚&CDP-8ABB;
HZK05-A755	&HZK05-A755;	⿰⺡⿱七𠇍
HZK05-A756	&HZK05-A756;	⿰⺡⿹&GT-14544;⿱&GT-K00064;&CDP-89AB;
HZK05-A757	&HZK05-A757;	⿰⺡𡿱
HZK05-A758	&HZK05-A758;	⿰⺡非
HZK05-A75A	&HZK05-A75A;	⿰⺡歨
HZK05-A775	&HZK05-A775;	⿰⺡𠧧
HZK05-A776	&HZK05-A776;	⿰⺡⿴⿱⺊囗幺
HZK05-A779	&HZK05-A779;	⿰⺡盰
HZK05-A7B8	&HZK05-A7B8;	⿰⺡冐
HZK05-A7B9	&HZK05-A7B9;	⿰⺡明
HZK05-A7BA	&HZK05-A7BA;	⿰⺡旻
HZK05-A7D9	&HZK05-A7D9;	⿰⺡忠
HZK05-A7DA	&HZK05-A7DA;	⿰⺡&CDP-8A59;
HZK05-A7DB	&HZK05-A7DB;	⿰⺡&M-03435;
HZK05-A7DC	&HZK05-A7DC;	⿰⺡𡇈
HZK05-A7DD	&HZK05-A7DD;	⿰⺡⿱央口
HZK05-A7DE	&HZK05-A7DE;	⿰⺡⿱⿺𠃊口&CDP-8958;
HZK05-A7DF	&HZK05-A7DF;	⿰⺡⿴囗&CDP-8DAC;
HZK05-A7E0	&HZK05-A7E0;	⿰⺡岶
HZK05-A7E1	&HZK05-A7E1;	⿰⺡𡶍
HZK05-A7E3	&HZK05-A7E3;	⿲⺡⿱水水
HZK05-A7E4	&HZK05-A7E4;	⿲⺡水欠
HZK05-A7E5	&HZK05-A7E5;	⿰⺡&CB06418;
HZK05-A7E6	&HZK05-A7E6;	⿰⺡岡
HZK05-A7F7	&HZK05-A7F7;	⿰⺡罔
HZK05-A7F8	&HZK05-A7F8;	⿰⺡⿱⿵&CDP-8BC0;&CDP-8C78;日
HZK05-A7FB	&HZK05-A7FB;	⿰⺡垂
HZK05-A7FC	&HZK05-A7FC;	⿰⺡幷
HZK05-A7FD	&HZK05-A7FD;	⿲⺡龵月
HZK05-A7FE	&HZK05-A7FE;	⿰⺡季
HZK05-A840	&HZK05-A840;	⿰⺡委
HZK05-A841	&HZK05-A841;	⿰⺡⿱⺮几
HZK05-A858	&HZK05-A858;	⿰⺡岳
HZK05-A85A	&HZK05-A85A;	⿰⺡侃
HZK05-A85B	&HZK05-A85B;	⿰⺡𠈉
HZK05-A85D	&HZK05-A85D;	⿰⺡帛
HZK05-A85E	&HZK05-A85E;	⿰⺡往
HZK05-A878	&HZK05-A878;	⿰⺡&GT-00257;
HZK05-A87B	&HZK05-A87B;	⿰⺡&GT-03636;
HZK05-A8BB	&HZK05-A8BB;	⿰⺡⿴&CDP-8BF5;&GT-34594;
HZK05-A8BC	&HZK05-A8BC;	⿰⺡⿱&GT-00458;&GT-34594;
HZK05-CA5A	&HZK05-CA5A;	⿰牜冘
HZK05-CA5B	&HZK05-CA5B;	⿰牜巴
HZK05-CA5C	&HZK05-CA5C;	⿰牜&CDP-8743;
HZK05-CA5D	&HZK05-CA5D;	⿱去牛
HZK05-CA60	&HZK05-CA60;	⿰牜可
HZK05-CA61	&HZK05-CA61;	⿰牜丕
HZK05-CA62	&HZK05-CA62;	⿰牜布
HZK05-CA63	&HZK05-CA63;	⿰牜&GT-11550;
HZK05-CA64	&I-HZK05-CA64;	⿳大冖牛
HZK05-CA65	&HZK05-CA65;	⿰牜兀丂
HZK05-CA76	&HZK05-CA76;	⿰牜亙
HZK05-CA77	&HZK05-CA77;	⿱北牛
HZK05-CA78	&HZK05-CA78;	⿰牜甲
HZK05-CA7A	&HZK05-CA7A;	⿰牜冉
HZK05-CA7B	&HZK05-CA7B;	⿰牜四
HZK05-CA7D	&HZK05-CA7D;	⿰牜失
HZK05-CA7E	&HZK05-CA7E;	⿰牜乍
HZK05-CAA1	&HZK05-CAA1;	⿰牜㐌
HZK05-CAA3	&HZK05-CAA3;	⿰牜&CDP-8BD6;人
HZK05-CAA4	&HZK05-CAA4;	⿰牜&GT-00521;
