;; -*- coding: utf-8-mcs-er -*-
HZK12-A66A	&I-HZK12-A66A;	⿰&B-ADB5;莖
HZK12-A66B	&I-HZK12-A66B;	⿰&B-ADB5;莫
HZK12-A66D	&I-HZK12-A66D;	⿰&B-ADB5;&HD-FT-3152;
HZK12-A66E	&I-HZK12-A66E;	⿰&B-ADB5;宿
HZK12-A66F	&I-HZK12-A66F;	⿰&B-ADB5;&M-38892;
HZK12-A671	&I-HZK12-A671;	⿰&B-ADB5;菐
HZK12-A672	&I-HZK12-A672;	⿰&B-ADB5;&AJ1-01824;
HZK12-A673	&I-HZK12-A673;	⿰&B-ADB5;&GT-25270;
HZK12-A6AA	&I-HZK12-A6AA;	⿰&B-ADB5;業
HZK12-A6AB	&I-HZK12-A6AB;	⿰&B-ADB5;蜀
HZK12-A6AC	&I-HZK12-A6AC;	⿰&B-ADB5;夂貢
HZK12-A6AD	&I-HZK12-A6AD;	⿰&B-ADB5;意
HZK12-A6AE	&I-HZK12-A6AE;	⿰&B-ADB5;&CDP-8D6B;&GT-39640;未
HZK12-A6AF	&I-HZK12-A6AF;	⿰&B-ADB5;⿰口口&CDP-8DF9;又
HZK12-A6B0	&I-HZK12-A6B0;	⿰&B-ADB5;&MJ011077;
HZK12-A6B1	&I-HZK12-A6B1;	⿲&B-ADB5;&B-B0A8;念
HZK12-A6B2	&I-HZK12-A6B2;	⿰&B-ADB5;&B-C646;
HZK12-A6CA	&I-HZK12-A6CA;	⿱巛𦣻
HZK12-A6E9	&I-HZK12-A6E9;	⿰丁&B-ADBA;
HZK12-C9AB	&I-HZK12-C9AB;	⿰&B-B3BD;&B-B3BE;
HZK12-C9AC	&I-HZK12-C9AC;	匊大&B-B3BE;
HZK12-C9AE	&I-HZK12-C9AE;	⿰&MJ011015;&CDP-8A52;
HZK12-C9AF	&I-HZK12-C9AF;	&B-B3C2;&B-B3BE;
HZK12-C9B0	&I-HZK12-C9B0;	⿰&B-B3BE;庸
HZK12-C9B2	&I-HZK12-C9B2;	⿰章&B-B3BE;
HZK12-C9B3	&I-HZK12-C9B3;	⿰&AJ1-17370;&B-B3BE;
HZK12-C9B4	&I-HZK12-C9B4;	⿰商&B-B3BE;
HZK12-C9B6	&I-HZK12-C9B6;	⿰率&B-B3BE;
HZK12-C9B7	&I-HZK12-C9B7;	⿰&GT-36650;&B-B3BE;
HZK12-C9B8	&I-HZK12-C9B8;	⿰&B-B3BE;渠
HZK12-C9B9	&I-HZK12-C9B9;	⿰渠&B-B3BE;
HZK12-C9CA	&I-HZK12-C9CA;	⿰淶&B-B3BE;
HZK12-C9CB	&I-HZK12-C9CB;	⿰&B-B3BE;寇
HZK12-C9CC	&I-HZK12-C9CC;	⿰密&B-B3BE;
HZK12-C9CD	&I-HZK12-C9CD;	⿰⿱必虫&B-B3BE;
HZK12-C9CE	&I-HZK12-C9CE;	⿱&B-B6A6;&B-B3BE;
HZK12-C9CF	&I-HZK12-C9CF;	⿰&GT-36924;&B-B3BE;
HZK12-C9D0	&I-HZK12-C9D0;	⿰&B-B3BE;&JX2-747B;
HZK12-C9D2	&I-HZK12-C9D2;	⿰&C2-3841;&CDP-8A52;
HZK12-C9D3	&I-HZK12-C9D3;	⿰堯&B-B3BE;
HZK12-C9D4	&I-HZK12-C9D4;	⿰&GT-49201;&B-B3BE;
HZK12-C9D5	&I-HZK12-C9D5;	工目&GT-25336;&B-B3BE;
HZK12-C9D6	&I-HZK12-C9D6;	⿰&B-B3BE;壹
HZK12-C9D7	&I-HZK12-C9D7;	⿰壹&B-B3BE;
HZK12-C9D8	&I-HZK12-C9D8;	⿱殼&B-B3BE;
HZK12-C9D9	&I-HZK12-C9D9;	⿰惡&B-B3BE;
HZK12-C9DA	&I-HZK12-C9DA;	⿰斯&B-B3BE;
HZK12-C9DB	&I-HZK12-C9DB;	⿱斯&B-B3BE;
HZK12-C9DC	&I-HZK12-C9DC;	⿰欺&B-B3BE;
HZK12-C9EA	&I-HZK12-C9EA;	⿰&J78-4551;&B-B3BE;
HZK12-C9EC	&I-HZK12-C9EC;	&CDP-89B6;田&B-B3BE;
HZK12-C9ED	&I-HZK12-C9ED;	⺿昏&B-B3BE;
HZK12-C9EE	&I-HZK12-C9EE;	⿰朝&B-B3BE;
HZK12-C9EF	&I-HZK12-C9EF;	&CDP-8D52;&B-AB41;&B-B3BE;
HZK12-C9F1	&I-HZK12-C9F1;	厤&B-B3BE;
HZK12-C9F2	&I-HZK12-C9F2;	⿰厥&B-B3BE;
HZK12-C9F5	&I-HZK12-C9F5;	⿰&CDP-8CF2;&CDP-8A52;
HZK12-C9F6	&I-HZK12-C9F6;	⿰&B-B6B3;&B-B3BE;
HZK12-C9F7	&I-HZK12-C9F7;	⿰朁&B-B3BE;
HZK12-C9F8	&I-HZK12-C9F8;	⿰&JX1-7B4E;&B-B3BE;
HZK12-C9F9	&I-HZK12-C9F9;	⿰菐&B-B3BE;
HZK12-C9FA	&I-HZK12-C9FA;	⿱&MJ012992;&B-B3BE;
HZK12-C9FB	&I-HZK12-C9FB;	⿳⿰目目冖&B-B3BE;
HZK12-C9FC	&I-HZK12-C9FC;	虫&MJ014748;&B-B3BE;
HZK12-CA4B	&I-HZK12-CA4B;	⿰喉&B-B3BE;
HZK12-CA4D	&I-HZK12-CA4D;	⿲囧月&B-B3BE;
HZK12-CA4F	&I-HZK12-CA4F;	⿰絜&B-B3BE;
HZK12-CA50	&I-HZK12-CA50;	⿰&B-B6C1;&B-B3BE;
HZK12-CA52	&I-HZK12-CA52;	⿰&B-B3BE;&B-B96D;
HZK12-CA53	&I-HZK12-CA53;	&B-AB41;火&B-B3BE;
HZK12-CA54	&I-HZK12-CA54;	⿰&B-B3BE;焦
HZK12-CA56	&I-HZK12-CA56;	⿰焦&CDP-8A52;
HZK12-CA57	&I-HZK12-CA57;	&B-AB41;&CDP-8CD5;&B-B3BE;
HZK12-CA58	&I-HZK12-CA58;	自𠦂&B-B3BE;
HZK12-CA59	&I-HZK12-CA59;	⿱舒&B-B3BE;
HZK12-A6EB	&I-HZK12-A6EB;	⿰&B-ADBA;犮
HZK12-A6EC	&I-HZK12-A6EC;	⿰犮&B-ADBA;
HZK12-A6ED	&I-HZK12-A6ED;	犮巛𦣻
HZK12-A6EE	&I-HZK12-A6EE;	⿰皮&B-ADBA;
HZK12-A6EF	&I-HZK12-A6EF;	⿰&B-ADBA;𦣝
HZK12-A6F0	&I-HZK12-A6F0;	巛𦣻臣
HZK12-A6F1	&I-HZK12-A6F1;	臣巛𦣻
HZK12-A6F2	&I-HZK12-A6F2;	⿰旨&B-ADBA;
HZK12-A6F3	&I-HZK12-A6F3;	旨巛𦣻
HZK12-A6F4	&I-HZK12-A6F4;	巛𦣻旨
HZK12-A6F5	&I-HZK12-A6F5;	⿰&B-ADBA;亥
HZK12-A6F6	&I-HZK12-A6F6;	&B-ADBA;巳个
HZK12-A6F7	&I-HZK12-A6F7;	巛𦣻𦣝
HZK12-A6F8	&I-HZK12-A6F8;	𦣝巛𦣻
HZK12-A6F9	&I-HZK12-A6F9;	⿰&B-ADBA;甫
HZK12-A6FA	&I-HZK12-A6FA;	夾巛𦣻
HZK12-A6FB	&I-HZK12-A6FB;	⺊目&B-ADBA;
HZK12-A6FC	&I-HZK12-A6FC;	⿰肖&B-ADBA;
HZK12-A74A	&I-HZK12-A74A;	禾&GT-00132;&B-ADBA;
HZK12-A74B	&I-HZK12-A74B;	⿰&B-ADBA;&B-ADB6;
HZK12-A74C	&I-HZK12-A74C;	&M-09980;巛𦣻
HZK12-A74D	&I-HZK12-A74D;	⿰&B-ADBA;&B-ADBA;
HZK12-A74E	&I-HZK12-A74E;	&B-AD78;巛𦣻
HZK12-A74F	&I-HZK12-A74F;	⿱&B-D449;&B-ADBA;
HZK12-A750	&I-HZK12-A750;	&B-ADBA;冖止攴
HZK12-A751	&I-HZK12-A751;	⿰&B-ADBA;姬
HZK12-A752	&I-HZK12-A752;	⿰&B-ADBA;國
HZK12-A753	&I-HZK12-A753;	⿱嫩&B-ADBA;
HZK12-A754	&I-HZK12-A754;	镸彡犮&B-ADBA;
HZK12-A755	&I-HZK12-A755;	⿱斷&B-ADBA;
HZK12-A76C	&I-HZK12-A76C;	⿰韋干
HZK12-A76D	&I-HZK12-A76D;	⿰韋&MJ007989;
HZK12-A76F	&I-HZK12-A76F;	⿰韦&C1-4443;
HZK12-A770	&I-HZK12-A770;	⿰韋刄
HZK12-A771	&I-HZK12-A771;	⿰韋犬
HZK12-A772	&I-HZK12-A772;	⿰韋內
HZK12-A773	&I-HZK12-A773;	⿰韋爻
HZK12-A7AC	&I-HZK12-A7AC;	⿰韋今
HZK12-A7AD	&I-HZK12-A7AD;	⿰韋欠
HZK12-A7AF	&I-HZK12-A7AF;	⿰韋丕
HZK12-A7B1	&I-HZK12-A7B1;	⿰韦&CDP-8A66;
HZK12-A7B2	&I-HZK12-A7B2;	⿰韋戉
HZK12-A7B3	&I-HZK12-A7B3;	⿰韋占
HZK12-A7CC	&I-HZK12-A7CC;	⿰韋付
HZK12-A7CD	&I-HZK12-A7CD;	⿰韋斥
HZK12-A7CE	&I-HZK12-A7CE;	⿰韋夗
HZK12-A7CF	&I-HZK12-A7CF;	⿰韋包
HZK12-A7D0	&I-HZK12-A7D0;	⿰韋主
HZK12-A7D1	&I-HZK12-A7D1;	⿰韋它
HZK12-A7D2	&I-HZK12-A7D2;	⿰韋必
HZK12-A7D3	&I-HZK12-A7D3;	⿰韋弗
