;; -*- coding: utf-8-mcs-er -*-
HZK06-A44F	&HZK06-A44F;	⿱父邪
HZK06-A553	&HZK06-A553;	⿳一八&CDP-8958;
HZK06-A554	&HZK06-A554;	⿰⺼⿱一九
HZK06-A556	&I-HZK06-A556;	⿰⺼𠧒
HZK06-A559	&I-HZK06-A559;	⿰⺼山
HZK06-A55A	&I-HZK06-A55A;	⿰⺼乇
HZK06-A55C	&I-HZK06-A55C;	⿰⺼川
HZK06-A55E	&HZK06-A55E;	⿰亾&GT-37857;
HZK06-A55F	&HZK06-A55F;	⿰⺼凡
HZK06-A561	&HZK06-A561;	⿰⺼勺
HZK06-A572	&HZK06-A572;	⿰⺼及
HZK06-A574	&HZK06-A574;	⿰⺼义
HZK06-A575	&HZK06-A575;	⿳冖一&CDP-8958;
HZK06-A576	&I-HZK06-A576;	⿰⺼巳
HZK06-A577	&HZK06-A577;	⿰⺼也
HZK06-A578	&HZK06-A578;	⿰⺼女
HZK06-A579	&HZK06-A579;	⿰⺼&CDP-89DB;
HZK06-A57B	&I-HZK06-A57B;	⿰⺼幺
HZK06-A57C	&HZK06-A57C;	⿰⺼丰
HZK06-A57D	&HZK06-A57D;	⿰⺼井
HZK06-A57E	&HZK06-A57E;	⿰⺼夫
HZK06-A5A1	&I-HZK06-A5A1;	⿰天&CDP-8958;
HZK06-A5A3	&HZK06-A5A3;	⿰⺼专
HZK06-A5B4	&I-HZK06-A5B4;	⿰⺼五
HZK06-A5B7	&HZK06-A5B7;	⿰⺼不
HZK06-A5B8	&HZK06-A5B8;	⿰⺼太
HZK06-A5B9	&HZK06-A5B9;	⿰⺼犬
HZK06-A5BA	&HZK06-A5BA;	⿰⺼尤
HZK06-A5BC	&HZK06-A5BC;	⿰⺼&C1-4528;
HZK06-A5D4	&HZK06-A5D4;	⿰⺼比
HZK06-A5D5	&I-HZK06-A5D5;	⿰⺼互
HZK06-A5D6	&I-HZK06-A5D6;	⿰⺼𢆰
HZK06-A5D8	&HZK06-A5D8;	⿳⺊冖&CDP-8958;
HZK06-A5D9	&HZK06-A5D9;	⿱⿰&CDP-8969;又&CDP-8958;
HZK06-A5DA	&HZK06-A5DA;	⿰⺼少
HZK06-A5DB	&I-HZK06-A5DB;	⿰⺼冄
HZK06-A5DC	&HZK06-A5DC;	⿰⺼中
HZK06-A5DD	&I-HZK06-A5DD;	𠃊口&CDP-8958;
HZK06-C963	&I-HZK06-C963;	⿱&B-AB41;火
HZK06-C964	&I-HZK06-C964;	⿰火⿱&CDP-8C76;丂
HZK06-C965	&HZK06-C965;	⿰火卑
HZK06-C966	&HZK06-C966;	⿰火&B-AAFA;
HZK06-C976	&I-HZK06-C976;	⿰火⿱&M-19655;&CDP-86FA;
HZK06-C977	&HZK06-C977;	⿰火侖
HZK06-C978	&HZK06-C978;	⿰火忩
HZK06-C979	&HZK06-C979;	⿰火朋
HZK06-C97A	&HZK06-C97A;	⿰火昏
HZK06-C97B	&I-HZK06-C97B;	⿱⿱&CDP-8B5B;⿵&CDP-8BC0;仌火
HZK06-C97E	&I-HZK06-C97E;	⿰火㕻
HZK06-C9A2	&HZK06-C9A2;	⿱府火
HZK06-C9A5	&I-HZK06-C9A5;	⿰火於
HZK06-C9A6	&I-HZK06-C9A6;	⿰火⿱⿱亠厶木
HZK06-A5F4	&I-HZK06-A5F4;	⿰⺼水
HZK06-A5F5	&HZK06-A5F5;	⿰水&GT-37857;
